 Position data for rigid sphere
 
          320   atoms
          1    atom types
   -120.0      120.0       xlo xhi
   -120.0      120.0       ylo yhi
   -120.0      120.0       zlo zhi
 
  Atoms
 
      1      1      0.0256796 -15.8876046   3.1659732            
      2      1     -0.0065539  -9.7285354  12.9535934            
      3      1     15.1406371  -4.8466739   3.1162295            
      4      1      9.3951884 -12.8727816  -2.9089440            
      5      1     14.4184503  -7.2812703  -1.2375049            
      6      1     12.9636755  -9.3139592  -2.7628439            
      7      1     14.3780078  -7.2818634   1.6393238            
      8      1     12.8903958  -9.3502145   2.9750983            
      9      1     12.2367531  -8.9637467   5.6879825            
     10      1     10.3382023 -10.5487465   6.6547385            
     11      1     11.4527893 -11.3685971  -1.4243042            
     12      1     11.4327788 -11.3846531   1.4564573            
     13      1      9.4216981 -12.8838973   2.7707077            
     14      1      9.0417300 -12.3516471   5.3032025            
     15      1      4.9205584 -15.1900605  -2.7368211            
     16      1      2.5481336 -15.9533355  -1.1992196            
     17      1      7.3427635 -14.3712624  -1.4109098            
     18      1      7.3764066 -14.3481077   1.4698484            
     19      1      2.5722631 -15.9062191   1.6779995            
     20      1      5.0013810 -15.1135985   3.0008920            
     21      1      4.8441349 -14.3648217   5.7119418            
     22      1      6.9359013 -13.0346534   6.6656665            
     23      1     -2.4554485 -14.2783985   7.2483193            
     24      1     -2.4559375 -12.7204259   9.7262100            
     25      1      0.0193595 -15.0501989   5.9942607            
     26      1      2.4878886 -14.2677016   7.2583143            
     27      1      0.0067480 -11.9153251  10.9756552            
     28      1      2.4800580 -12.7078927   9.7364676            
     29      1      4.8222915 -11.3485960  10.5068976            
     30      1      6.9005138 -11.6360921   8.9120310            
     31      1      2.4839865  -5.8135494  14.9155114            
     32      1      4.8472826  -4.0868468  14.9077684            
     33      1      2.5299584  -8.3862632  13.6275429            
     34      1      4.9695889  -9.2262534  12.3539249            
     35      1     12.9092381  -1.4901082   9.6732194            
     36      1     14.3807969  -1.9808593   7.1908902            
     37      1     14.3572494  -4.5759518   5.9472750            
     38      1     12.8674198  -6.6841240   7.2244043            
     39      1     11.3990899  -3.5900514  10.9367410            
     40      1     11.3956647  -6.1931435   9.7068958            
     41      1      9.3917619  -8.0099376  10.4916983            
     42      1      9.0260982 -10.0834728   8.9046702            
     43      1      9.3270143  -2.9086132  12.9223372            
     44      1      7.2796368  -4.9160264  13.6117448            
     45      1      7.3330855  -7.4994968  12.3459883            
     46      1     14.6303758  -4.7441678  -5.0877304            
     47      1     13.3165082  -6.5796622  -6.4667363            
     48      1     12.4142121  -8.8458738  -5.4843304            
     49      1     15.2266664  -4.9164661  -2.5331831            
     50      1     15.9543648  -2.5065880  -1.2709382            
     51      1      2.1937994 -14.7058789  -6.4315158            
     52      1      0.0524420 -15.3953996  -5.0417205            
     53      1      0.0450846 -16.0082576  -2.4846893            
     54      1      4.6305782 -14.5324426  -5.4594764            
     55      1      6.4781630 -13.0859896  -7.0164310            
     56      1     13.2500173   3.0334672   8.8133502            
     57      1     14.5793859   2.5897758   6.5707377            
     58      1     15.1906868   0.2145539   5.6246801            
     59      1     12.3450280   1.1640407  10.4252251            
     60      1     10.3843754   1.9758295  12.2760283            
     61      1      2.0980481  -0.5590157  16.0538382            
     62      1     -0.0373101  -2.1192280  16.0607442            
     63      1     -0.0289491  -4.6890599  15.5065117            
     64      1      4.5417074  -1.3494889  15.4916687            
     65      1     -2.5322491  -5.8277372  14.9018529            
     66      1     -6.8897824 -11.6914960   8.8475897            
     67      1     -6.8851099 -13.0720100   6.6451365            
     68      1     -4.8240131 -14.3759856   5.7008737            
     69      1     -4.8165626 -11.3787988  10.4768167            
     70      1     -4.9530402 -15.1344151   2.9760537            
     71      1     15.9340934  -2.4420318   1.6066033            
     72      1     15.9359147   0.1231686   2.9105799            
     73      1      8.9220667 -12.2374060  -5.7517515            
     74      1     10.4680949 -10.1710530  -7.0291318            
     75      1     -2.5113228 -15.9172575   1.6655921            
     76      1     -2.4662206 -15.9651661  -1.2129514            
     77      1     -2.5565800  -8.4010108  13.6134838            
     78      1     -4.9864191  -9.2555630  12.3251857            
     79      1      8.8386497  -0.0747899  13.5761814            
     80      1      6.3845019   0.6873366  14.8729865            
     81      1     -1.3705233   1.9464428  16.0241396            
     82      1      1.2735447   1.9534712  16.0312838            
     83      1     -2.1807894  -0.5703931  16.0424074            
     84      1     -4.6173570  -1.3747746  15.4670629            
     85      1     13.2456249   6.6552694   6.5345876            
     86      1     14.5764323   4.8284046   5.1627663            
     87      1     12.4259824   5.5462264   8.7905835            
     88      1     10.5808239   6.5422869  10.3771226            
     89      1     13.3121909  -2.9570640  -8.7453628            
     90      1     12.5021095  -5.4745377  -8.7273547            
     91      1     14.6273981  -2.5058936  -6.4961332            
     92      1     12.4050668  -1.0916597 -10.3615936            
     93      1     12.9502111   1.5658112  -9.6062633            
     94      1     11.4349307   3.6572751 -10.8768894            
     95      1     15.2202954  -0.1258618  -5.5467822            
     96      1     14.4059058   2.0649981  -7.1165783            
     97      1     14.3606031   4.6603554  -5.8731755            
