LAMMPS (16 Aug 2013)
Reading data file ...
  orthogonal box = (-160 -160 -40) to (160 160 280)
  2 by 2 by 2 MPI processor grid
  320 atoms
320 atoms in group sphere1
Using a lattice-Boltzmann grid of 80 by 80 by 81 total grid points. (../fix_lb_fluid.cpp:354)
1 rigid bodies with 320 atoms
Setting up run ...
Memory usage per processor = 6.04489 Mbytes
vx vy vz omegax omegay omegaz 
           0            0            0            0            0            0 
4.2764235e-51 1.7105694e-51 1.4257459e-18 1.1272054e-35 2.9034121e-40 7.0912634e-40 
-3.2500819e-51 1.8816264e-51 -1.9992479e-18 -4.5088447e-35 -9.0188167e-36 -8.9412563e-40 
-1.453984e-51 1.0263416e-51 -1.5343541e-18 -2.930734e-35 -7.5492074e-40 -3.9349497e-40 
1.1118701e-51 3.9000983e-50 -1.157397e-18 -2.7052697e-35 9.0169584e-36 -3.5073945e-40 
-3.4211388e-52 1.8816264e-50 -1.1557968e-18 -2.930734e-35 -7.5491763e-40 -5.2765272e-40 
-8.894961e-51 2.3434801e-50 -1.15579e-18 -1.3526464e-35 -3.484214e-40 -3.3500001e-40 
3.6917769e-24 -3.9814617e-20 -4.9468439e-18 6.0589009e-21 3.5511201e-21 4.7382192e-25 
4.580282e-21 2.7518274e-19 5.9355719e-18 -1.4198463e-20 5.5190568e-20 9.8636629e-22 
 6.20583e-20 2.7454933e-19 2.9048822e-17 1.0511228e-20 6.0156514e-20 4.2274046e-21 
1.7904722e-19 2.2007112e-18 1.0855306e-15 -5.6711678e-20 5.6990609e-20 -2.6154892e-20 
-1.4106253e-18 1.1863531e-18 3.0035963e-15 4.6863058e-20 -2.4466265e-20 7.1488087e-20 
-1.0606463e-18 -1.533033e-18 3.6272492e-15 5.7783193e-20 5.9967544e-20 -1.1032896e-19 
-6.5854864e-19 -1.0811555e-17 3.1722136e-15 1.7271701e-20 -9.5285698e-20 -1.2932528e-19 
2.7128877e-18 -4.9114569e-18 2.3118418e-15 -1.5539634e-19 -9.484692e-20 5.9064966e-21 
2.562809e-18 7.8645656e-19 1.7408247e-15 -2.7328988e-19 -1.4867411e-19 -3.5300465e-21 
4.4899118e-18 2.3618913e-17 1.8042999e-15 -2.0528407e-18 -1.7713894e-19 -1.4259377e-19 
-1.6593193e-18 1.0457988e-16 1.3119934e-15 -8.5309464e-18 -5.7639901e-20 -2.2544334e-19 
-1.6212144e-17 3.2840354e-16 1.1560444e-15 -2.7753777e-17 -8.6734135e-20 -2.139917e-19 
