# nu DOS
0.040404 2.93333e-05
0.121212 0.000156444
0.20202 0.000234667
0.282828 0.00088
0.363636 0.001056
0.444444 0.00179911
0.525253 0.00291378
0.606061 0.00348089
0.686869 0.00391111
0.767677 0.005632
0.848485 0.00561244
0.929293 0.008448
1.0101 0.00973867
1.09091 0.0101884
1.17172 0.0127893
1.25253 0.0149013
1.33333 0.0149404
1.41414 0.0194187
1.49495 0.0219413
1.57576 0.0215111
1.65657 0.02728
1.73737 0.0290204
1.81818 0.028864
1.89899 0.037664
1.9798 0.0355324
2.06061 0.0420444
2.14141 0.0466987
2.22222 0.0479307
2.30303 0.0548338
2.38384 0.0589404
2.46465 0.0652373
2.54545 0.0690898
2.62626 0.0741938
2.70707 0.0810773
2.78788 0.0897404
2.86869 0.0975431
2.94949 0.102628
3.0303 0.117568
3.11111 0.129908
3.19192 0.142443
3.27273 0.173301
3.35354 0.192955
3.43434 0.185973
3.51515 0.199115
3.59596 0.196729
3.67677 0.2068
3.75758 0.2024
3.83838 0.20858
3.91919 0.210789
4 0.210027
4.08081 0.217419
4.16162 0.214857
4.24242 0.230795
4.32323 0.225515
4.40404 0.225476
4.48485 0.231792
4.56566 0.231381
4.64646 0.236857
4.72727 0.23848
4.80808 0.240885
4.88889 0.249294
4.9697 0.242704
5.05051 0.259541
5.13131 0.247886
5.21212 0.176763
5.29293 0.149717
5.37374 0.15003
5.45455 0.156229
5.53535 0.144085
5.61616 0.15402
5.69697 0.149541
5.77778 0.148192
5.85859 0.149678
5.93939 0.149893
6.0202 0.146901
6.10101 0.14475
6.18182 0.153296
6.26263 0.139588
6.34343 0.135109
6.42424 0.135403
6.50505 0.131609
6.58586 0.115867
6.66667 0.109433
6.74747 0.143792
6.82828 0.192036
6.90909 0.220293
6.9899 0.257038
7.07071 0.273093
7.15152 0.311246
7.23232 0.337705
7.31313 0.291808
7.39394 0.222132
7.47475 0.183529
7.55556 0.151145
7.63636 0.118761
7.71717 0.0815271
7.79798 0.0323058
7.87879 0.00111467
7.9596 0
8.0404 0
