# frequency  DOS
#THz  number
0.0375 0.000106667
0.1125 0
0.1875 0.000426667
0.2625 0.000213333
0.3375 0.000213333
0.4125 0.00163556
0.4875 0.00163556
0.5625 0.00206222
0.6375 0.00256
0.7125 0.00348444
0.7875 0.00483556
0.8625 0.00704
0.9375 0.00945778
1.0125 0.0103822
1.0875 0.0137244
1.1625 0.0140089
1.2375 0.0184889
1.3125 0.0178489
1.3875 0.0243911
1.4625 0.0233244
1.5375 0.0264533
1.6125 0.0302933
1.6875 0.0323556
1.7625 0.0359822
1.8375 0.0397511
1.9125 0.0412444
1.9875 0.0511289
2.0625 0.0514844
2.1375 0.0559644
2.2125 0.0649956
2.2875 0.0666311
2.3625 0.0734578
2.4375 0.0812089
2.5125 0.08448
2.5875 0.0991289
2.6625 0.0979911
2.7375 0.111289
2.8125 0.124089
2.8875 0.13376
2.9625 0.160036
3.0375 0.181796
3.1125 0.188373
3.1875 0.211911
3.2625 0.212836
3.3375 0.205653
3.4125 0.212196
3.4875 0.2208
3.5625 0.219164
3.6375 0.228124
3.7125 0.222933
3.7875 0.232036
3.8625 0.234809
3.9375 0.234098
4.0125 0.242133
4.0875 0.237582
4.1625 0.242631
4.2375 0.251093
4.3125 0.245049
4.3875 0.253511
4.4625 0.251662
4.5375 0.254933
4.6125 0.257991
4.6875 0.253653
4.7625 0.251947
4.8375 0.197156
4.9125 0.166258
4.9875 0.162311
5.0625 0.159218
5.1375 0.156373
5.2125 0.160996
5.2875 0.152107
5.3625 0.160213
5.4375 0.151253
5.5125 0.155449
5.5875 0.1536
5.6625 0.152178
5.7375 0.152249
5.8125 0.14848
5.8875 0.146702
5.9625 0.141298
6.0375 0.13312
6.1125 0.123662
6.1875 0.115698
6.2625 0.112142
6.3375 0.160142
6.4125 0.21696
6.4875 0.250098
6.5625 0.273209
6.6375 0.306489
6.7125 0.337493
6.7875 0.363804
6.8625 0.329884
6.9375 0.253582
7.0125 0.207431
7.0875 0.173724
7.1625 0.144142
7.2375 0.111253
7.3125 0.0369422
7.3875 0.00323556
7.4625 0
