# Time-averaged data for fix gdd
# TimeStep Number-of-rows
# Row c_gdd[1] c_gdd[2] c_gdd[3] c_gdd[4] c_gdd[5] c_gdd[6] c_gdd[7] c_gdd[8] c_gdd[9] c_gdd[10] c_gdd[11] c_gdd[12] c_gdd[13] c_gdd[14] c_gdd[15] c_gdd[16] c_gdd[17] c_gdd[18] c_gdd[19] c_gdd[20] c_gdd[21] c_gdd[22] c_gdd[23] c_gdd[24] c_gdd[25] c_gdd[26] c_gdd[27] c_gdd[28] c_gdd[29] c_gdd[30] c_gdd[31] c_gdd[32] c_gdd[33] c_gdd[34] c_gdd[35] c_gdd[36] c_gdd[37] c_gdd[38] c_gdd[39] c_gdd[40] c_gdd[41] c_gdd[42] c_gdd[43] c_gdd[44] c_gdd[45] c_gdd[46] c_gdd[47] c_gdd[48] c_gdd[49] c_gdd[50] c_gdd[51] c_gdd[52] c_gdd[53] c_gdd[54] c_gdd[55] c_gdd[56] c_gdd[57] c_gdd[58] c_gdd[59] c_gdd[60] c_gdd[61] c_gdd[62] c_gdd[63] c_gdd[64] c_gdd[65] c_gdd[66] c_gdd[67] c_gdd[68] c_gdd[69] c_gdd[70] c_gdd[71] c_gdd[72] c_gdd[73] c_gdd[74] c_gdd[75] c_gdd[76] c_gdd[77] c_gdd[78] c_gdd[79] c_gdd[80] c_gdd[81] c_gdd[82] c_gdd[83] c_gdd[84] c_gdd[85] c_gdd[86] c_gdd[87] c_gdd[88] c_gdd[89] c_gdd[90] c_gdd[91] c_gdd[92] c_gdd[93] c_gdd[94] c_gdd[95] c_gdd[96] c_gdd[97] c_gdd[98] c_gdd[99] c_gdd[100] c_gdd[101] c_gdd[102] c_gdd[103] c_gdd[104] c_gdd[105] c_gdd[106] c_gdd[107] c_gdd[108] c_gdd[109] c_gdd[110] c_gdd[111] c_gdd[112] c_gdd[113] c_gdd[114] c_gdd[115] c_gdd[116] c_gdd[117] c_gdd[118] c_gdd[119] c_gdd[120] c_gdd[121] c_gdd[122] c_gdd[123]
0 49
1 16 70.7277 173.124 -163.439 152.639 -283.013 90.2585 617.106 1.79668 206.729 2.75743 125.362 3695.41 1.65196 1233.77 3.62193 742.305 3306.37 21.626 1107.51 22.1754 675.165 2877.11 47.8854 967.859 40.2821 590.662 9886.1 19.7751 3307.56 23.2977 1993.84 5388.08 15.8516 1805.04 5.45334 24.1971 5.58303 607.723 78894.8 35.0395 26340 11.6985 77.2638 11.7357 8807.88 -67155.2 -430.17 -22492.8 -144.816 -445.508 -142.368 -7569.1 54324.3 912.697 18277.4 329.673 766.397 320.538 6207.78 47076.9 281067 68.7747 168.344 -158.925 148.422 -275.2 87.7664 600.065 1.74692 201.021 2.68107 121.901 3593.39 1.60624 1199.71 3.52188 721.812 3215.04 21.0285 1076.92 21.5622 656.515 2797.6 46.558 941.114 39.1665 574.338 9613.26 19.231 3216.28 22.6552 1938.81 5239.29 15.4127 1755.19 5.30229 23.527 5.42837 590.941 76716.9 34.0698 25612.9 11.3748 75.1298 11.411 8564.74 -65299.9 -418.28 -21871.4 -140.813 -433.187 -138.434 -7359.98 52822.6 887.39 17772.2 320.528 745.166 311.647 6036.16 45777 273307
2 0 -0.868675 0.599888 -2.90105 -7.20136 -5.12272 5.27625 -16.3404 -1.59346 -6.43223 -0.766075 -4.41914 26.1896 -1.13751 5.60943 -1.19171 1.00516 81.7413 -10.8687 22.9687 -5.50146 12.76 -276.161 22.9666 -99.6452 7.91947 -64.0875 361.737 -16.9919 114.925 -14.1191 61.5962 -229.445 -14.6731 -85.2317 -4.9257 -7.43373 -4.98612 -34.319 856.495 -24.1774 219.062 -8.53902 -24.9057 -8.72887 28.5786 -1439.01 174.012 -399.418 59.4653 87.3704 59.6 -82.3658 -7945.32 407.18 -2801.12 131.966 119.963 127.452 -1039.47 -2851.85 -5572.26 -0.843588 0.586556 -2.82063 -7.0012 -4.98837 5.13003 -15.8786 -1.54988 -6.25118 -0.745365 -4.29507 25.553 -1.10616 5.48333 -1.15901 0.994914 79.4244 -10.5712 22.3144 -5.35036 12.3964 -268.526 22.3266 -96.8919 7.69866 -62.3195 352.109 -16.5278 111.873 -13.7317 59.9688 -223.008 -14.2717 -82.8454 -4.79107 -7.23229 -4.84981 -33.361 835.065 -23.511 213.751 -8.30341 -24.2222 -8.48811 28.0344 -1396.96 169.264 -387.615 57.8383 84.9814 57.9713 -79.8311 -7726.07 395.814 -2723.84 128.268 116.602 123.886 -1010.8 -2772.14 -5410.84
3 0 -0.664129 1.83247 -0.325192 -9.0165 -10.5228 5.55303 -11.3596 -0.677332 -3.7628 -1.6063 -2.11452 79.9996 0.811548 26.8793 -0.66575 16.5484 23.2835 -13.8895 6.96322 -15.0333 3.78103 -340.439 -32.7659 -112.626 -20.26 -68.9943 748.727 -3.37269 245.719 -3.17252 148.373 -147.213 -6.10653 -48.9283 -2.00903 -14.4319 -2.24214 -16.1049 2596.04 17.7173 870.44 5.78559 -13.3798 5.82253 293.464 -998.841 278.532 -317.895 95.1586 297.41 88.0867 -93.3039 -9665.09 -651.785 -3212.81 -210.529 -417.203 -219.21 -1063 -1700.24 1121.99 -0.606046 1.87956 -0.405045 -8.6814 -10.3944 5.44804 -10.6982 -0.657664 -3.54244 -1.5607 -1.98554 79.8911 0.790163 26.8384 -0.645584 16.5138 24.3834 -13.4933 7.3551 -14.605 4.03241 -329.403 -31.8423 -108.967 -19.6813 -66.7557 733.847 -3.27669 240.872 -3.07779 145.443 -140.103 -5.92942 -46.5577 -1.95063 -14.0225 -2.1773 -15.3173 2569.53 17.2501 861.487 5.63337 -12.9721 5.66919 290.405 -1005.57 270.594 -320.619 92.4467 288.942 85.5725 -94.6044 -9367.1 -633.427 -3113.65 -204.592 -405.315 -213.034 -1030.11 -1626.62 1251.82
4 0 0.62461 -1.06131 1.26358 7.81385 5.80491 -5.5232 11.0579 0.754943 4.31978 0.514041 3.07059 -46.3021 -0.832423 -14.7072 0.216807 -7.4849 -53.1451 6.44185 -11.223 4.20056 -5.58781 302.456 1.46723 105.286 8.99502 68.2125 -406.882 14.4242 -127.106 9.87564 -72.229 147.69 6.71087 54.9478 2.48175 4.79226 2.38854 22.1169 -1500.78 -17.9293 -485.091 -6.04633 4.12078 -6.03139 -151.614 1673.42 -128.281 429.407 -37.2636 -73.5569 -40.2964 57.9052 8781.77 76.1352 3023.68 19.515 214.895 25.7603 1071.83 1754.97 1231.2 0.582567 -1.09156 1.2816 7.54292 5.74366 -5.39858 10.5321 0.733079 4.12654 0.4989 2.94091 -46.2965 -0.810299 -14.726 0.209842 -7.53392 -52.6828 6.25209 -11.2515 4.07394 -5.64015 293.016 1.40954 102.013 8.73038 66.1069 -399.171 14.0221 -124.776 9.59642 -70.9451 141.652 6.51661 52.7731 2.41004 4.65157 2.31944 21.2844 -1486.55 -17.4525 -480.781 -5.88568 3.98613 -5.87099 -150.464 1646.32 -124.505 423.983 -36.1578 -71.3189 -39.1079 58.4937 8517.88 73.6918 2932.99 18.8592 208.639 24.9299 1039.79 1689.09 1096.38
5 0 -1.01951 3.33876 3.18949 -5.38157 -14.026 -0.325905 -18.3736 -1.23197 -7.24667 -1.78442 -5.31593 141.047 -1.42041 45.2052 -0.816533 25.8762 -136.679 3.85383 -45.0719 0.120115 -27.0135 -198.761 -22.2184 -70.7025 -23.5727 -49.3163 962.462 1.5706 315.817 -5.45619 188.563 -248.691 -11.5255 -93.0662 -4.2914 -16.5204 -4.56197 -37.771 4462.36 -28.7585 1450.11 -9.46481 -15.7848 -9.51666 458.45 4384.54 -68.6409 1453.02 -28.5761 13.8798 -24.4667 478.386 -5508.84 -466.603 -1924.9 -172.249 -478.847 -170.845 -701.847 -2991.51 2954.27 -0.97852 3.27777 3.07064 -5.20674 -13.6888 -0.298925 -17.7542 -1.19746 -7.00899 -1.73447 -5.14641 137.814 -1.38066 44.1777 -0.793201 25.2945 -132.262 3.75295 -43.6126 0.120948 -26.1372 -192.808 -21.5929 -68.5945 -22.9127 -47.8583 937.598 1.53513 307.668 -5.29935 183.701 -240.845 -11.2029 -90.168 -4.1713 -16.0582 -4.43439 -36.6173 4353.17 -27.9533 1414.75 -9.19979 -15.3323 -9.25026 447.354 4250 -66.8585 1408.4 -27.8228 13.4107 -23.8275 463.672 -5348.55 -453.495 -1869.01 -167.415 -465.457 -166.05 -681.544 -2900.34 2922.9
6 0 1.55741 -3.57832 0.22272 10.8022 12.3737 -4.58554 27.9402 2.97192 10.3454 3.23154 6.72161 -151.715 2.73202 -49.3447 4.25862 -29.3075 1.34011 19.3984 1.39808 13.6047 -0.626035 411.509 19.5799 135.229 24.8461 86.1065 -842.591 9.67328 -274.578 13.4406 -164.261 377.021 27.1718 135.114 9.75003 29.4964 9.9149 51.3797 -4808.19 56.5879 -1577.85 18.5812 89.0219 18.5595 -509.166 -341.596 -366.274 -134.465 -126.69 -257.493 -122.891 -57.5829 11776.5 460.488 3899.67 165.732 540.994 162.276 1281.3 4523.94 400.514 1.48379 -3.55281 0.286068 10.438 12.1495 -4.49673 26.8981 2.88868 9.96894 3.14059 6.48092 -149.076 2.65542 -48.4999 4.13927 -28.8098 -0.0934058 18.8516 0.892724 13.2193 -0.893637 398.89 19.0127 131.074 24.1395 83.4696 -823.32 9.39329 -268.332 13.0588 -160.529 364.218 26.411 130.58 9.4772 28.6666 9.63735 49.6897 -4708.25 55.001 -1545.24 18.0601 86.5269 18.039 -498.77 -304.045 -355.934 -121.354 -123.114 -250.185 -119.422 -52.8435 11427.4 447.265 3783.94 160.978 525.663 157.618 1243.19 4377.86 268.448
7 0 -0.263223 2.07819 5.86453 6.03726 2.20226 -12.6246 -4.47964 -0.672036 -1.80218 -0.890983 -1.72133 86.6006 -0.750988 28.5314 0.209832 16.4581 -218.668 11.5492 -72.3104 10.331 -40.1839 231.656 -4.2726 66.4385 2.27926 35.9462 -153.432 -24.5677 -63.6832 -17.0742 -45.1142 -56.5667 -6.15004 -21.8385 -2.66139 -8.31184 -2.86447 -9.25863 2712.91 -14.5836 898.621 -4.00123 5.99246 -4.05689 296.233 6098.91 -205.733 2025.47 -69.5878 -187.939 -67.5179 669.003 6679.14 -49.1716 2025.91 -55.247 71.5363 -46.0699 534.476 -631.558 5272.73 -0.268332 1.99028 5.73273 5.84258 2.18965 -12.2916 -4.46223 -0.654087 -1.78807 -0.867047 -1.69538 83.5621 -0.73053 27.5276 0.203606 15.8736 -213.261 11.2215 -70.5235 10.0394 -39.2016 224.714 -4.163 64.4213 2.20896 34.8408 -150.812 -23.8926 -62.4642 -16.6051 -44.1921 -55.9171 -5.98546 -21.5415 -2.58971 -8.08806 -2.7872 -9.10621 2624.28 -14.1868 869.229 -3.89275 5.81789 -3.94688 286.524 5943.71 -199.872 1973.93 -67.6054 -182.619 -65.5937 651.989 6484.05 -47.9789 1966.4 -53.7767 69.4176 -44.854 518.513 -621.946 5079.36
8 0 1.41118 -2.48066 2.57149 14.6607 15.3811 -10.2506 25.7809 2.07937 9.6008 2.22291 6.20903 -107.505 0.156564 -33.6346 1.8907 -19.0696 -75.6614 22.5727 -22.4945 19.0935 -13.5152 559.733 30.4826 187.168 22.0703 117.097 -1088.27 9.46122 -357.822 9.10126 -212.974 354.301 19.2146 127.156 6.34622 20.4646 6.71637 48.4134 -3472.21 2.78817 -1110.77 1.04821 39.4183 1.51693 -339.191 1453.21 -409.16 432.917 -141.476 -354.849 -135.446 109.434 16048 655.011 5371.41 213.013 490.723 214.277 1805.79 4326.01 3224.58 1.33259 -2.50765 2.58096 14.1742 15.1172 -10.0127 24.7135 2.0207 9.21692 2.16033 5.96559 -106.602 0.15125 -33.3947 1.83716 -18.9575 -75.0398 21.9324 -22.3635 18.5539 -13.4443 542.769 29.6248 181.495 21.4431 113.559 -1064.08 9.18811 -349.9 8.84131 -208.272 341.328 18.6729 122.58 6.16725 19.8888 6.52712 46.7199 -3421.01 2.68991 -1095 1.01219 38.3012 1.46788 -334.799 1439.85 -397.552 429.904 -137.464 -344.824 -131.602 109.404 15577 636.628 5213.77 207.03 476.844 208.259 1752.79 4177.94 2969.2
9 0 0.323487 0.00433875 1.46494 2.17471 -1.07703 -0.56732 5.78844 0.726825 2.24061 -0.00524071 1.78548 0.0700916 0.6355 0.782268 1.23126 1.6564 -49.5887 6.17926 -13.4195 0.916791 -7.37079 82.1254 -33.5578 34.1123 -10.1139 21.4486 72.4042 9.04537 27.0012 8.68978 18.6805 77.6306 6.41871 28.5993 2.27391 -0.204599 2.15466 11.4057 -2.83572 13.601 15.5329 4.63912 26.2187 4.76277 16.1844 1224.28 -112.981 349.502 -42.8888 -12.3311 -41.5327 77.2736 2317.48 -633.207 898.961 -228.081 -183.102 -210.842 387.553 925.748 2876.07 0.317121 0.0102661 1.41921 2.12051 -1.05645 -0.549558 5.6519 0.707006 2.18646 -0.00482598 1.74081 0.197065 0.617985 0.803899 1.19735 1.63681 -48.1215 6.01067 -13.0175 0.893092 -7.14873 79.9811 -32.6283 33.2126 -9.83153 20.8827 70.7013 8.7998 26.3567 8.45192 18.226 75.699 6.24378 27.88 2.21188 -0.196479 2.09594 11.114 -0.00911689 13.2262 16.0257 4.51135 25.4967 4.63155 16.0485 1188.67 -109.896 339.276 -41.7183 -12.0191 -40.398 74.9639 2256.12 -615.666 875.039 -221.763 -177.984 -205 377.166 902.12 2807.16
10 0 -0.789309 1.68806 -1.03073 -8.01833 -4.71955 4.06225 -13.9046 -1.41052 -5.31063 -0.964893 -3.63074 73.1127 1.2393 24.2187 -0.829243 13.8177 42.545 -12.9727 8.66245 -6.98023 4.31891 -305.475 -3.98694 -108.802 -16.6188 -72.1252 339.44 -2.45954 105.235 -3.10178 62.3315 -185.016 -12.9893 -67.677 -4.7851 -8.87594 -4.66742 -26.4668 2358 26.8685 782.938 8.93578 -17.3064 8.89202 258.932 -1303.47 241.327 -325.881 76.1233 129.32 79.3354 -37.2456 -8747.74 -127.982 -3055.7 -34.3777 -360.791 -44.1371 -1112.46 -2193.04 -473.426 -0.736855 1.71529 -1.06684 -7.73227 -4.7117 3.98558 -13.2472 -1.37049 -5.07246 -0.937204 -3.47495 72.6808 1.20606 24.0797 -0.805275 13.755 42.5869 -12.5994 8.83007 -6.77705 4.44965 -295.821 -3.85754 -105.39 -16.144 -69.8863 334.439 -2.37673 103.789 -3.00596 61.4881 -177.469 -12.6211 -64.9921 -4.64976 -8.62156 -4.53521 -25.4617 2327.01 26.1475 772.706 8.69593 -16.8057 8.65346 255.589 -1290.48 234.378 -324.575 73.9258 125.55 77.0492 -38.7975 -8483.16 -124.076 -2963.61 -33.2964 -350.525 -42.7898 -1079.15 -2110.74 -334.019
