# Displaced_A15.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
   1   64   -753.4390371853782   -754.220443   0.012209465853466384   7.735924630262842   8.398670476926332   0.114714864934009   
   2   64   -752.9893805923747   -753.865255   0.01368553761914626   8.849199829510292   9.134430544814492   0.12870920943656347   
   3   64   -753.3208522385504   -754.0221   0.010956996272650343   8.322448694328386   9.01726110188127   0.11543646599482565   
   4   64   -753.5955479883947   -754.279613   0.010688515806332788   7.708631391868176   8.381725091649153   0.1057752426431695   
   5   64   -753.0525448562033   -753.777209   0.011322877246822571   8.9021534668102   9.478314476700007   0.11903245171912928   
   6   64   -753.3492631130352   -754.048643   0.010927810733823762   7.810233098429243   8.465317937559755   0.11274191205855245   
   7   64   -753.6490826337418   -754.317603   0.01044563072278315   7.4448074310909815   8.127690490502268   0.10226834470575953   
   8   64   -753.3275351537199   -753.969161   0.010025403848127112   8.52920114642321   9.425464951766411   0.10637302981243228   
   9   64   -753.3951654822728   -754.141988   0.011669101839487439   8.169918016544585   8.821346913268911   0.11395803560443594   
# Displaced_BCC.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
   10   54   -631.7256314366151   -631.019667   0.013073415492872047   15.431379746873649   16.625876002911852   0.2644440986508814   
   11   54   -632.2717821084213   -631.719595   0.01022568719298744   14.520227628814482   15.58666626272206   0.2234291996811578   
   12   54   -631.9433982243354   -631.386255   0.010317467117322057   15.21474240716259   15.923788831679882   0.22596574542189893   
   13   54   -633.0715327294877   -632.575826   0.009179754249771577   13.387222606753506   14.55977161807516   0.20468605687713443   
   14   54   -630.8934957303858   -630.450212   0.008208957970107686   16.552089412692144   16.963407263806737   0.23634113052517508   
   15   54   -632.0720278384713   -631.669379   0.007456459971689566   15.243544753003158   16.057573148572235   0.2277553205333692   
   16   54   -632.8026455532762   -632.431277   0.006877195431040188   14.211466388966027   14.698107183802986   0.20251384029797093   
   17   54   -631.6802090341056   -630.960068   0.013335945076029795   14.71234152255393   15.9907314848333   0.22814956095518693   
   18   54   -625.0384776742666   -623.378198   0.030745919893825482   23.402147672243643   24.67640432462571   0.349868273751879   
# Displaced_FCC.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
   19   48   -555.9699048146151   -555.899463   0.0014675378044823144   6.076723551396931   6.084617062577644   0.07097225751821024   
   20   48   -555.9513725502509   -555.922478   0.0006019697968942713   6.276808086243127   6.297071211051453   0.09304007987632448   
   21   48   -555.8352575532658   -555.800269   0.0007289281930387878   6.149373502765756   6.021098635803518   0.08156835300590887   
   22   48   -556.264633538131   -556.196151   0.0014267195443954013   5.0619719190107535   5.127955094071613   0.08671676430621715   
   23   48   -555.6280533723403   -555.488929   0.0028984244237572434   6.842691117932344   7.050223458554702   0.08140862125949523   
   24   48   -556.109623275952   -556.027926   0.0017020265823338339   5.657586133933669   5.611881174158804   0.07972132769456881   
   25   48   -556.0586145413539   -555.968399   0.0018794904448734921   5.876517196385777   5.9792171885302   0.07481336691893505   
   26   48   -556.0087786431831   -556.047132   0.0007990282670202001   5.749737350364931   5.544452585448   0.08230729198148418   
   27   48   -555.8257619395353   -555.747848   0.0016232070736516373   6.360724133209548   6.478925680043952   0.09531890253811613   
# Elastic_BCC.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
   28   2   -23.683550425804203   -23.689367   0.0029082870978989206   0.0006476690575065489   0.0006222748588847215   7.473202473167542e-06   
   29   2   -23.682831250911686   -23.689888   0.003528374544156776   0.0006432761410203517   0.0006166052221640683   7.127119895610507e-06   
   30   2   -23.682952614031493   -23.689996   0.003521692984254088   0.0009101925662596378   0.0008810425642385276   1.137156952558426e-05   
   31   2   -23.681098785478728   -23.690957   0.004929107260636556   1.0425659332049322e-06   0   4.159514878802316e-07   
   32   2   -23.679217057079928   -23.690521   0.005651971460036265   0.0006251577875112793   0.0005982273815197694   7.343256195143567e-06   
   33   2   -23.677874583372457   -23.69038   0.006252708313772004   0.0006209549791271468   0.0005925723584508478   7.867519726167648e-06   
   34   2   -23.684170458839812   -23.689202   0.0025157705800946673   0.0006510533126869045   0.000627936302502093   6.902838700729079e-06   
   35   2   -23.681714227171522   -23.690482   0.004383886414238702   0.0009007678977943496   0.0008640138887772579   1.2830084429857715e-05   
   36   2   -23.683028429438   -23.689902   0.003436785280999999   0.0006422803111387042   0.0006152154094299004   8.366792468633249e-06   
   37   2   -23.680657088637687   -23.690563   0.004952955681156723   0.0006308861563534924   0.0006038725030997851   7.233699596626228e-06   
   38   2   -23.683393925923532   -23.690207   0.0034065370382343474   0.0011163849179563546   0.001073697350280795   1.7428867338686962e-05   
   39   2   -23.683710082512825   -23.689285   0.0027874587435885445   0.000920185484248747   0.0008900134830439369   1.0813703883401434e-05   
   40   2   -23.68346034107277   -23.689768   0.0031538294636153097   0.0011184689767447097   0.0010802490453594485   1.5612628915528297e-05   
   41   2   -23.68226028418668   -23.68968   0.003709857906660119   0.0009056805302001959   0.0008680034562143172   1.294225778570613e-05   
   42   2   -23.68261525330227   -23.690074   0.003729373348864584   0.0014343132299812712   0.001373818765339883   2.364310297078403e-05   
   43   2   -23.6847112033199   -23.688108   0.0016983983400500335   0.0006578004784884138   0.0006336134468270066   7.710524795113091e-06   
   44   2   -23.684069319420885   -23.689241   0.0025858402895568844   0.0009210090528071258   0.0008880101350772974   1.1437392287608268e-05   
   45   2   -23.683864034230748   -23.68952   0.002827982884626934   0.0009167488406458258   0.0008860011286674525   1.0705796976735371e-05   
   46   2   -23.6852633314181   -23.686278   0.000507334290951178   0.0006658872985863428   0.0006406777661195993   8.368566237432363e-06   
   47   2   -23.67631317225787   -23.690097   0.006891913871065469   0.0008723081517661347   0.0008410160521654744   1.0770082784073142e-05   
   48   2   -23.678370717610786   -23.690811   0.0062201411946070095   0.0008799687105942461   0.0008500070587942196   1.0563635670809324e-05   
   49   2   -23.679834898420143   -23.690266   0.005215550789928969   0.0010902204296133922   0.0010443227470470994   1.8746534883044184e-05   
   50   2   -23.68211557122554   -23.690597   0.004240714387229616   0.0011040891213385932   0.0010508330029076933   2.1742363259529332e-05   
   51   2   -23.680523087778788   -23.690673   0.005074956110606266   0.0006301839819306729   0.0006038907185907066   7.62983475552646e-06   
   52   2   -23.681873678429074   -23.690551   0.0043386607854625225   0.0009009015545046141   0.0008590064027700842   1.4407737462938155e-05   
   53   2   -23.681933670401143   -23.690693   0.004379664799428085   0.0008999859733843508   0.00085901105930017   1.4706469331227884e-05   
   54   2   -23.680990770735228   -23.69021   0.004609614632386183   0.0008986014358616709   0.0008730051546239576   9.195531395664147e-06   
   55   2   -23.68428236221443   -23.688943   0.0023303188927847884   0.0009218653993257257   0.0008800306812833288   1.5750860585307216e-05   
   56   2   -23.678442500559818   -23.690136   0.005846749720090472   0.0006229280872416283   0.0005939966329870902   8.165007267874088e-06   
   57   2   -23.684959166089666   -23.687444   0.001242416955166803   0.0009334481687145867   0.0009030592450110901   1.2459660821235188e-05   
   58   2   -23.68365008780623   -23.689801   0.003075456096883755   0.0009146886841575375   0.0008740011441640107   1.3790679311215322e-05   
