LAMMPS (16 Aug 2013)
Reading data file ...
  orthogonal box = (-160 -160 -160) to (160 160 160)
  2 by 2 by 2 MPI processor grid
  320 atoms
Using a lattice-Boltzmann grid of 80 by 80 by 81 total grid points. (../fix_lb_fluid.cpp:354)
Not adding the fluid force to any of the MD particles.  To add this force use one of the viscous_lb, pc, or rigid_pc_
sphere fixes (../fix_lb_fluid.cpp:575)
Setting up run ...
Memory usage per processor = 5.24263 Mbytes
Step Temp E_pair E_mol TotEng Press 
       0   0.24218896            0            0      1.6e-06 3.2552083e-14 
-------------------------------------------------------------------------------
     F_x          F_y          F_z          T_x          T_y          T_z
-------------------------------------------------------------------------------
9.346646E-07 -9.521110E-02 -8.495332E-06 3.346747E-05 -1.239193E-08 -7.805167E-05
2.928034E-07 -7.353275E-02 5.958054E-06 2.911472E-05 -1.997987E-08 -6.559255E-05
1.830947E-07 -5.925550E-02 4.331849E-06 2.315385E-05 5.490389E-09 -5.190231E-05
1.212081E-07 -5.350721E-02 3.286060E-06 2.055738E-05 -5.387510E-09 -4.598961E-05
9.868599E-08 -5.088178E-02 2.805782E-06 1.939209E-05 -1.015902E-08 -4.336682E-05
9.282391E-08 -4.920876E-02 2.547378E-06 1.870837E-05 -1.251734E-08 -4.179743E-05
9.022388E-08 -4.789281E-02 2.396579E-06 1.820789E-05 -1.380203E-08 -4.061453E-05
8.778218E-08 -4.679243E-02 2.288166E-06 1.780335E-05 -1.458256E-08 -3.963869E-05
8.527898E-08 -4.586046E-02 2.201428E-06 1.746686E-05 -1.511708E-08 -3.881594E-05
8.294994E-08 -4.500829E-02 2.128695E-06 1.716671E-05 -1.531725E-08 -3.808581E-05
8.063577E-08 -4.401573E-02 2.066968E-06 1.683279E-05 -1.509020E-08 -3.728355E-05
7.652322E-08 -4.294268E-02 2.020223E-06 1.646589E-05 -1.546349E-08 -3.636688E-05
7.114585E-08 -4.242389E-02 1.989503E-06 1.624882E-05 -1.696664E-08 -3.578804E-05
7.031748E-08 -4.264224E-02 1.969460E-06 1.628428E-05 -1.840574E-08 -3.583993E-05
7.525813E-08 -4.288097E-02 1.949072E-06 1.638611E-05 -1.898466E-08 -3.605266E-05
7.948764E-08 -4.249782E-02 1.914901E-06 1.631659E-05 -1.793035E-08 -3.583708E-05
7.726546E-08 -4.154407E-02 1.870113E-06 1.603612E-05 -1.470304E-08 -3.512442E-05
6.972673E-08 -4.059749E-02 1.833781E-06 1.570578E-05 -1.304782E-08 -3.431398E-05
6.381651E-08 -4.024106E-02 1.815586E-06 1.553809E-05 -1.630657E-08 -3.389315E-05
6.445282E-08 -4.047522E-02 1.803420E-06 1.558807E-05 -2.045414E-08 -3.397356E-05
6.920155E-08 -4.075349E-02 1.785122E-06 1.570334E-05 -2.086504E-08 -3.419456E-05
7.221774E-08 -4.064473E-02 1.764531E-06 1.571350E-05 -1.857040E-08 -3.416598E-05
7.106342E-08 -4.022026E-02 1.747119E-06 1.560084E-05 -1.673562E-08 -3.385630E-05
6.804473E-08 -3.979781E-02 1.728245E-06 1.546262E-05 -1.674922E-08 -3.349067E-05
6.618612E-08 -3.954422E-02 1.702391E-06 1.537396E-05 -1.799076E-08 -3.323690E-05
6.600922E-08 -3.939783E-02 1.672873E-06 1.533014E-05 -1.907128E-08 -3.308447E-05
6.622651E-08 -3.922512E-02 1.647260E-06 1.528646E-05 -1.907718E-08 -3.293589E-05
6.568456E-08 -3.896093E-02 1.627695E-06 1.521311E-05 -1.829312E-08 -3.272347E-05
6.430921E-08 -3.865586E-02 1.609868E-06 1.512013E-05 -1.796263E-08 -3.246542E-05
6.291414E-08 -3.842008E-02 1.591372E-06 1.504330E-05 -1.888218E-08 -3.224274E-05
6.227896E-08 -3.830657E-02 1.576685E-06 1.500644E-05 -2.038080E-08 -3.211309E-05
6.232371E-08 -3.827578E-02 1.571184E-06 1.500293E-05 -2.126579E-08 -3.206116E-05
6.256631E-08 -3.827710E-02 1.574173E-06 1.501632E-05 -2.134201E-08 -3.204473E-05
6.294468E-08 -3.830299E-02 1.580949E-06 1.504153E-05 -2.130194E-08 -3.204905E-05
6.372617E-08 -3.834256E-02 1.587903E-06 1.507459E-05 -2.154252E-08 -3.206727E-05
6.473867E-08 -3.833799E-02 1.592577E-06 1.509691E-05 -2.189737E-08 -3.206046E-05
6.529710E-08 -3.822340E-02 1.591576E-06 1.508366E-05 -2.220364E-08 -3.197427E-05
6.485721E-08 -3.798765E-02 1.582084E-06 1.502545E-05 -2.251194E-08 -3.178873E-05
6.346323E-08 -3.768512E-02 1.565395E-06 1.493656E-05 -2.281457E-08 -3.153756E-05
6.164421E-08 -3.739929E-02 1.547412E-06 1.484535E-05 -2.300484E-08 -3.128543E-05
6.009191E-08 -3.720089E-02 1.535252E-06 1.477935E-05 -2.314698E-08 -3.109324E-05
5.935742E-08 -3.711933E-02 1.532934E-06 1.475347E-05 -2.348299E-08 -3.099232E-05
5.959167E-08 -3.713278E-02 1.539045E-06 1.476429E-05 -2.409237E-08 -3.097367E-05
6.048014E-08 -3.718368E-02 1.547475E-06 1.479412E-05 -2.473341E-08 -3.099621E-05
6.145167E-08 -3.721326E-02 1.550991E-06 1.482170E-05 -2.509084E-08 -3.101193E-05
6.204985E-08 -3.719072E-02 1.545555E-06 1.483294E-05 -2.510214E-08 -3.099060E-05
6.215048E-08 -3.711775E-02 1.532478E-06 1.482494E-05 -2.501060E-08 -3.092778E-05
6.189509E-08 -3.701337E-02 1.516922E-06 1.480242E-05 -2.509955E-08 -3.083585E-05
6.148988E-08 -3.689836E-02 1.504018E-06 1.477240E-05 -2.544320E-08 -3.073124E-05
6.107746E-08 -3.679025E-02 1.495596E-06 1.474189E-05 -2.589125E-08 -3.062878E-05
6.075513E-08 -3.670376E-02 1.489821E-06 1.471734E-05 -2.625849E-08 -3.054114E-05
6.061966E-08 -3.664663E-02 1.483425E-06 1.470291E-05 -2.648551E-08 -3.047622E-05
6.071106E-08 -3.661220E-02 1.474299E-06 1.469754E-05 -2.663714E-08 -3.043139E-05
6.095202E-08 -3.657886E-02 1.462570E-06 1.469417E-05 -2.676515E-08 -3.039161E-05
6.115102E-08 -3.652234E-02 1.449982E-06 1.468360E-05 -2.688405E-08 -3.033724E-05
6.111510E-08 -3.643252E-02 1.438661E-06 1.466061E-05 -2.699345E-08 -3.025723E-05
6.079496E-08 -3.632121E-02 1.430188E-06 1.462760E-05 -2.711783E-08 -3.015728E-05
6.032425E-08 -3.621468E-02 1.425137E-06 1.459301E-05 -2.730378E-08 -3.005645E-05
5.992907E-08 -3.613732E-02 1.422968E-06 1.456599E-05 -2.758602E-08 -2.997527E-05
5.977840E-08 -3.609863E-02 1.422357E-06 1.455131E-05 -2.795648E-08 -2.992439E-05
5.989185E-08 -3.609081E-02 1.421963E-06 1.454769E-05 -2.837457E-08 -2.990077E-05
6.017861E-08 -3.609610E-02 1.421214E-06 1.454986E-05 -2.876901E-08 -2.989144E-05
6.048721E-08 -3.609661E-02 1.420532E-06 1.455160E-05 -2.908371E-08 -2.988178E-05
6.069092E-08 -3.608065E-02 1.420777E-06 1.454812E-05 -2.931150E-08 -2.986111E-05
6.072978E-08 -3.604350E-02 1.422382E-06 1.453685E-05 -2.949259E-08 -2.982435E-05
6.060215E-08 -3.598539E-02 1.424925E-06 1.451710E-05 -2.968683E-08 -2.977074E-05
6.033382E-08 -3.590982E-02 1.427398E-06 1.448951E-05 -2.993817E-08 -2.970244E-05
5.995843E-08 -3.582325E-02 1.428859E-06 1.445602E-05 -3.025705E-08 -2.962410E-05
5.951857E-08 -3.573508E-02 1.428898E-06 1.441982E-05 -3.062691E-08 -2.954286E-05
5.907349E-08 -3.565609E-02 1.427653E-06 1.438483E-05 -3.102479E-08 -2.946737E-05
5.869303E-08 -3.559511E-02 1.425517E-06 1.435456E-05 -3.143692E-08 -2.940530E-05
