LAMMPS (22 Feb 2013)
Reading data file ...
  orthogonal box = (-240 -240 -240) to (240 240 240)
  2 by 2 by 4 MPI processor grid
  1280 atoms
320 atoms in group sphere1
320 atoms in group sphere2
320 atoms in group sphere3
320 atoms in group sphere4
Using a lattice-Boltzmann grid of 120 by 120 by 120 total grid points. (fix_lb_fluid.cpp:341)
Not adding the fluid force to any of the MD particles.  To add this force use one of the viscous_lb, pc, or rigid_pc_
sphere fixes (fix_lb_fluid.cpp:562)
Setting up run ...
Memory usage per processor = 6.53706 Mbytes
Step Temp E_pair E_mol TotEng Press 
       0    2416.2089            0            0        0.064 3.8580247e-10 
-------------------------------------------------------------------------------
     F_x          F_y          F_z          T_x          T_y          T_z
-------------------------------------------------------------------------------
-2.519437E-07 -3.378353E-02 2.983770E-07 5.859648E-06 3.493830E-07 5.806391E-05
-5.530843E-05 -3.051145E-02 1.997893E-07 4.973072E-06 7.167843E-08 2.809871E-04
-1.939592E-04 -2.807935E-02 1.642334E-07 4.760856E-06 1.002415E-07 7.940888E-04
-8.391894E-05 -2.706192E-02 1.386348E-07 4.462179E-06 1.430773E-07 1.389692E-03
-1.426966E-04 -2.635752E-02 1.303755E-07 4.316115E-06 1.553444E-07 1.955670E-03
-1.515396E-04 -2.577746E-02 1.227236E-07 4.192716E-06 1.770745E-07 2.450775E-03
-1.566915E-04 -2.547952E-02 1.170495E-07 4.123089E-06 1.968722E-07 2.872602E-03
-1.699270E-04 -2.497708E-02 1.136776E-07 3.999827E-06 2.038818E-07 3.229582E-03
-1.812706E-04 -2.448195E-02 1.074963E-07 3.895607E-06 2.149994E-07 3.531468E-03
-2.183610E-04 -2.414374E-02 1.041669E-07 3.819743E-06 2.214265E-07 3.786909E-03
-2.555306E-04 -2.417647E-02 1.035995E-07 3.801660E-06 2.263597E-07 4.002174E-03
-2.472868E-04 -2.405686E-02 1.021773E-07 3.764431E-06 2.332926E-07 4.184002E-03
-2.202241E-04 -2.368267E-02 9.921002E-08 3.682337E-06 2.387597E-07 4.339805E-03
-2.483179E-04 -2.332147E-02 9.522375E-08 3.594806E-06 2.415726E-07 4.474868E-03
-2.887538E-04 -2.342079E-02 9.491443E-08 3.587415E-06 2.431543E-07 4.590861E-03
-2.917185E-04 -2.341012E-02 9.554988E-08 3.574083E-06 2.424370E-07 4.689846E-03
-2.863748E-04 -2.316295E-02 9.325752E-08 3.519951E-06 2.475387E-07 4.775763E-03
