LAMMPS (16 Aug 2013)
Reading data file ...
  orthogonal box = (-240 -240 -240) to (240 240 240)
  2 by 2 by 2 MPI processor grid
  1280 atoms
320 atoms in group sphere1
320 atoms in group sphere2
320 atoms in group sphere3
320 atoms in group sphere4
Using a lattice-Boltzmann grid of 120 by 120 by 120 total grid points. (../fix_lb_fluid.cpp:354)
Not adding the fluid force to any of the MD particles.  To add this force use one of the viscous_lb, pc, or rigid_pc_
sphere fixes (../fix_lb_fluid.cpp:575)
Setting up run ...
Memory usage per processor = 13.1925 Mbytes
Step Temp E_pair E_mol TotEng Press 
       0   0.24162089            0            0      6.4e-06 3.8580247e-14 
-------------------------------------------------------------------------------
     F_x          F_y          F_z          T_x          T_y          T_z
-------------------------------------------------------------------------------
-1.044162E-07 -2.449123E-02 -2.138869E-08 3.624597E-06 2.801217E-07 1.511116E-04
-2.558779E-05 -2.216321E-02 -2.953855E-08 3.110420E-06 2.415475E-07 3.706867E-04
-1.240804E-04 -2.103456E-02 -2.632129E-08 3.017582E-06 2.455698E-07 7.020053E-04
-6.499530E-05 -2.022936E-02 -2.524216E-08 2.830047E-06 2.725908E-07 1.033246E-03
-9.202340E-05 -1.983230E-02 -2.453552E-08 2.741904E-06 2.745715E-07 1.325392E-03
-1.034491E-04 -1.949318E-02 -2.412705E-08 2.666945E-06 2.822299E-07 1.569533E-03
-1.106194E-04 -1.929401E-02 -2.380893E-08 2.615488E-06 2.889920E-07 1.769933E-03
-1.187176E-04 -1.905467E-02 -2.341960E-08 2.548968E-06 2.930677E-07 1.934564E-03
-1.289826E-04 -1.877471E-02 -2.305510E-08 2.487851E-06 2.968795E-07 2.069949E-03
-1.484568E-04 -1.857833E-02 -2.258770E-08 2.439835E-06 2.983920E-07 2.181211E-03
-1.709625E-04 -1.853532E-02 -2.249271E-08 2.410615E-06 2.983898E-07 2.272796E-03
-1.754883E-04 -1.848647E-02 -2.260276E-08 2.383751E-06 3.011635E-07 2.349097E-03
-1.671215E-04 -1.832285E-02 -2.261853E-08 2.342528E-06 3.043047E-07 2.413626E-03
-1.760710E-04 -1.814482E-02 -2.211581E-08 2.295590E-06 3.041093E-07 2.468229E-03
-1.955237E-04 -1.812414E-02 -2.194180E-08 2.269779E-06 3.040100E-07 2.513942E-03
-2.041287E-04 -1.812177E-02 -2.224218E-08 2.251943E-06 3.049451E-07 2.552758E-03
-2.046727E-04 -1.803623E-02 -2.220734E-08 2.223071E-06 3.054935E-07 2.586374E-03
-2.088929E-04 -1.796612E-02 -2.200194E-08 2.191820E-06 3.062785E-07 2.615468E-03
-2.215767E-04 -1.793139E-02 -2.200508E-08 2.167361E-06 3.065128E-07 2.640679E-03
-2.330108E-04 -1.788431E-02 -2.204529E-08 2.143394E-06 3.061442E-07 2.662712E-03
-2.352178E-04 -1.781319E-02 -2.202474E-08 2.113684E-06 3.063044E-07 2.681983E-03
-2.366467E-04 -1.773927E-02 -2.192727E-08 2.082702E-06 3.065051E-07 2.698683E-03
-2.388842E-04 -1.769678E-02 -2.185360E-08 2.055950E-06 3.066294E-07 2.712958E-03
-2.407383E-04 -1.768230E-02 -2.186668E-08 2.033280E-06 3.066532E-07 2.725180E-03
-2.471259E-04 -1.768246E-02 -2.187552E-08 2.014340E-06 3.067187E-07 2.735819E-03
-2.587235E-04 -1.769270E-02 -2.191115E-08 1.998977E-06 3.069067E-07 2.745351E-03
-2.681156E-04 -1.768311E-02 -2.198241E-08 1.981899E-06 3.071166E-07 2.754253E-03
-2.693890E-04 -1.763855E-02 -2.198240E-08 1.959106E-06 3.076090E-07 2.762670E-03
-2.649222E-04 -1.758294E-02 -2.191731E-08 1.932597E-06 3.082559E-07 2.770394E-03
-2.626370E-04 -1.753984E-02 -2.186268E-08 1.906622E-06 3.085242E-07 2.777170E-03
-2.674718E-04 -1.751402E-02 -2.186273E-08 1.884244E-06 3.083890E-07 2.782902E-03
-2.767635E-04 -1.750059E-02 -2.193022E-08 1.866073E-06 3.081233E-07 2.787719E-03
-2.844671E-04 -1.749768E-02 -2.204921E-08 1.851092E-06 3.080618E-07 2.791873E-03
-2.877280E-04 -1.750434E-02 -2.222033E-08 1.837921E-06 3.085088E-07 2.795622E-03
-2.877233E-04 -1.750366E-02 -2.243976E-08 1.824310E-06 3.093114E-07 2.799203E-03
-2.859892E-04 -1.747662E-02 -2.264362E-08 1.808077E-06 3.100288E-07 2.802725E-03
-2.846357E-04 -1.743808E-02 -2.277126E-08 1.790599E-06 3.103300E-07 2.806059E-03
-2.872306E-04 -1.742575E-02 -2.288634E-08 1.776230E-06 3.102956E-07 2.808977E-03
-2.943981E-04 -1.744380E-02 -2.310569E-08 1.766379E-06 3.102618E-07 2.811484E-03
-3.011722E-04 -1.745112E-02 -2.340455E-08 1.756341E-06 3.104279E-07 2.813842E-03
-3.027184E-04 -1.742068E-02 -2.365962E-08 1.741313E-06 3.107315E-07 2.816224E-03
-3.005527E-04 -1.737708E-02 -2.384324E-08 1.722779E-06 3.109952E-07 2.818480E-03
-2.996906E-04 -1.735707E-02 -2.404429E-08 1.705612E-06 3.110932E-07 2.820349E-03
-3.019056E-04 -1.736144E-02 -2.432512E-08 1.691595E-06 3.111421E-07 2.821789E-03
-3.049795E-04 -1.736604E-02 -2.464617E-08 1.678792E-06 3.113458E-07 2.822977E-03
