################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -4.2252995889643252E-01 a         1     0     1     1     1
 -6.0555645962054347E+00 a         2     0     1     1     2
  1.4040722027928377E+01 a         3     0     1     1     3
 -2.7041370011942618E+00 a         4     0     1     1     4
 -3.8202743208058858E+00 a         5     0     1     1     5
 -3.3612643261393358E+00 a         6     0     1     1     6
 -2.0418101025905258E+00 a         7     0     1     1     7
  7.5707237340996727E+00 a         8     0     1     1     8
 -5.8098755815926548E+00 a         9     0     1     1     9
 -6.0966886893925210E-01 a        10     0     1     1    10
  5.8061564015115206E+00 a        11     0     1     1    11
 -1.5509339733099867E+00 a        12     0     1     1    12
  1.9747395485200818E+00 a        13     0     1     1    13
  4.5260782279680539E-01 a        14     0     1     1    14
  9.9210415760283279E+00 a        15     0     1     1    15
 -6.5078831481547121E+00 a        16     0     1     1    16
 -3.4768832871318085E+00 a        17     0     1     1    17
 -1.9463994340943838E+00 a        18     0     1     1    18
 -3.4186058699290269E+00 a        19     0     1     1    19
  1.2263643166698479E+00 a        20     0     1     1    20
 -5.9171161834436594E+00 a        21     0     1     1    21
  1.8436267358458363E+00 a        22     0     1     1    22
 -2.3139530616378448E+00 a        23     0     1     1    23
 -1.7228542411478951E+01 a        24     0     1     1    24
  2.2888610253215895E+00 a        25     0     1     1    25
  8.0819405565169262E+00 a        26     0     2     1     1
  8.0066409422078735E+00 a        27     0     2     1     2
 -2.8439251469462398E+01 a        28     0     2     1     3
 -1.1146087290797917E+01 a        29     0     2     1     4
 -7.5292172093563314E+00 a        30     0     2     1     5
 -4.0783685663337641E+00 a        31     0     2     1     6
 -4.4130406528599337E+00 a        32     0     2     1     7
  1.0563249167508673E+01 a        33     0     2     1     8
  1.0933105521974941E+01 a        34     0     2     1     9
 -1.1646509907117448E+01 a        35     0     2     1    10
 -7.5007478428041727E+00 a        36     0     2     1    11
  7.7790182254249176E+00 a        37     0     2     1    12
  1.1567034492555623E+01 a        38     0     2     1    13
 -4.2051741520233508E+00 a        39     0     2     1    14
  3.1165306119132130E+00 a        40     0     2     1    15
  1.6385645103485370E+01 a        41     0     2     1    16
  2.6440539124381655E+00 a        42     0     2     1    17
 -3.9524518111687827E+00 a        43     0     2     1    18
 -8.7912410635652076E+00 a        44     0     2     1    19
  4.3903318583813933E+00 a        45     0     2     1    20
  3.3748047065442632E-01 a        46     0     2     1    21
 -6.6858946327311741E-01 a        47     0     2     1    22
  5.4447187026310928E+00 a        48     0     2     1    23
  1.9966018946508100E+01 a        49     0     2     1    24
 -1.7414420670154115E+01 a        50     0     2     1    25
 -3.9418657694849879E-01 a        51     0     3     1     1
  9.1804829174186846E+00 a        52     0     3     1     2
 -1.0485089041850278E+01 a        53     0     3     1     3
  8.9380499555048889E+00 a        54     0     3     1     4
  1.0758607876097068E+01 a        55     0     3     1     5
  7.2881492125393788E+00 a        56     0     3     1     6
  8.2627077997774609E+00 a        57     0     3     1     7
 -1.2523613158520124E+01 a        58     0     3     1     8
  4.5963999046141870E+00 a        59     0     3     1     9
  8.2776469521184293E+00 a        60     0     3     1    10
 -2.1354371687617113E+00 a        61     0     3     1    11
 -9.0381751821938234E+00 a        62     0     3     1    12
 -1.2209592338152297E+00 a        63     0     3     1    13
  4.7653671372245672E+00 a        64     0     3     1    14
 -1.7909124818088952E+01 a        65     0     3     1    15
  3.2182917515973237E+00 a        66     0     3     1    16
 -2.3712750109800793E+00 a        67     0     3     1    17
  4.6394007836500366E+00 a        68     0     3     1    18
  2.3761984937954490E+00 a        69     0     3     1    19
 -1.0484832585147684E+01 a        70     0     3     1    20
  1.2317970755621140E+01 a        71     0     3     1    21
 -1.5014054499447769E+00 a        72     0     3     1    22
 -1.1215435083480425E+00 a        73     0     3     1    23
  8.9428653321614355E+00 a        74     0     3     1    24
  1.2636165742848842E+00 a        75     0     3     1    25
 -1.3406492086741725E+01 a        76     0     4     1     1
 -1.0241053204283523E+01 a        77     0     4     1     2
  4.3016369326050899E+01 a        78     0     4     1     3
  2.0170433813810671E+01 a        79     0     4     1     4
  1.3209328101408278E+01 a        80     0     4     1     5
  1.2456789467161695E+01 a        81     0     4     1     6
  4.3498515722861573E+00 a        82     0     4     1     7
 -2.1948185511490657E+01 a        83     0     4     1     8
 -1.5329558038416376E+01 a        84     0     4     1     9
  1.4173337432869845E+01 a        85     0     4     1    10
  5.6040631650516088E+00 a        86     0     4     1    11
 -9.7646834958548663E+00 a        87     0     4     1    12
 -1.3810669587629080E+01 a        88     0     4     1    13
 -1.5274915717855073E+00 a        89     0     4     1    14
 -1.3662043326477198E+01 a        90     0     4     1    15
 -2.5095635769057225E+01 a        91     0     4     1    16
  5.4033548590960638E+00 a        92     0     4     1    17
  1.1047593171711565E+01 a        93     0     4     1    18
  1.9404912122904062E+01 a        94     0     4     1    19
  2.4043652449872512E+00 a        95     0     4     1    20
 -3.3818087825635010E+00 a        96     0     4     1    21
 -4.9505657938825802E+00 a        97     0     4     1    22
  6.2159614529590854E+00 a        98     0     4     1    23
 -1.9315299866781363E+01 a        99     0     4     1    24
  2.4149549923763363E+01 a       100     0     4     1    25
  2.2633190213689671E+00 a       101     0     5     1     1
 -1.1275056403465689E+01 a       102     0     5     1     2
  1.2588751117785917E+00 a       103     0     5     1     3
 -1.7399288116611554E+01 a       104     0     5     1     4
 -1.8915392010979964E+01 a       105     0     5     1     5
 -6.5088880348621911E+00 a       106     0     5     1     6
 -8.7022768117985532E+00 a       107     0     5     1     7
  9.5716939158219958E+00 a       108     0     5     1     8
  6.7173652175539926E+00 a       109     0     5     1     9
 -1.0675975211687946E+01 a       110     0     5     1    10
 -9.8676303718126039E+00 a       111     0     5     1    11
  2.2213929552875065E+01 a       112     0     5     1    12
 -3.9036053816020080E+00 a       113     0     5     1    13
 -1.0319098765495239E+01 a       114     0     5     1    14
  2.0443220229254024E+01 a       115     0     5     1    15
 -1.4108663925115768E+00 a       116     0     5     1    16
  8.2741724462704607E+00 a       117     0     5     1    17
 -5.3497533478370061E+00 a       118     0     5     1    18
  1.0188467515179238E+00 a       119     0     5     1    19
  3.3447636806848529E+00 a       120     0     5     1    20
 -6.3209134939668381E+00 a       121     0     5     1    21
  7.0841649292282804E+00 a       122     0     5     1    22
 -1.3545092924552248E+01 a       123     0     5     1    23
 -1.0559922896741500E+00 a       124     0     5     1    24
 -1.6720809451360648E+00 a       125     0     5     1    25
  2.8772403595811382E+00 a       126     0     6     1     1
  6.6056181351338488E+00 a       127     0     6     1     2
 -2.1395393088585266E+01 a       128     0     6     1     3
 -1.6735909985964671E+01 a       129     0     6     1     4
 -4.4466039540570526E+00 a       130     0     6     1     5
 -1.9134274750411421E+01 a       131     0     6     1     6
  7.4840405517853625E+00 a       132     0     6     1     7
  1.5375004378912831E+01 a       133     0     6     1     8
 -3.2781218210557539E-01 a       134     0     6     1     9
  5.1424696656729978E+00 a       135     0     6     1    10
  2.4028588442306344E+00 a       136     0     6     1    11
  1.6576032835324068E+00 a       137     0     6     1    12
 -1.8331489599850683E+00 a       138     0     6     1    13
  1.5714883034771246E+01 a       139     0     6     1    14
  1.3932522318533026E+01 a       140     0     6     1    15
  3.0252340531342401E+01 a       141     0     6     1    16
 -2.0172838001093005E+01 a       142     0     6     1    17
 -1.3208548828817202E+01 a       143     0     6     1    18
 -1.1333313633908213E+01 a       144     0     6     1    19
 -2.2075367220543007E-01 a       145     0     6     1    20
  5.4183716265511874E+00 a       146     0     6     1    21
  4.4469214579975294E+00 a       147     0     6     1    22
 -1.7974421141420628E+01 a       148     0     6     1    23
  1.3331466657294333E+01 a       149     0     6     1    24
 -1.0273470133062483E+01 a       150     0     6     1    25
 -1.3893961251032516E+00 a       151     0     7     1     1
  4.8442398001659086E+00 a       152     0     7     1     2
 -1.4036072623897150E+01 a       153     0     7     1     3
  1.9115742411572878E+01 a       154     0     7     1     4
  1.7609386484170951E+01 a       155     0     7     1     5
  7.6541742060341660E+00 a       156     0     7     1     6
  2.6652782695389745E+00 a       157     0     7     1     7
 -4.1794554937287582E+00 a       158     0     7     1     8
 -1.1905203283691870E+01 a       159     0     7     1     9
  9.5475237719776391E+00 a       160     0     7     1    10
