############################################################
# group name of the atoms under study      : all
# total number of atoms in the group       : 16
# dimension of the system                  : 1 D
# number of atoms per unit cell            : 1
# dimension of the FFT mesh                : 16 x 1 x 1
# number of wait steps before measurement  : 500000
# frequency of GFC measurement             : 10
# output result after this many measurement: 50000
# number of processors used by this run    : 1
############################################################
# mapping information between lattice index and atom id
# nx ny nz nucell
16 1 1 1
# l1 l2 l3 k atom_id
0 0 0 0 1
1 0 0 0 2
2 0 0 0 3
3 0 0 0 4
4 0 0 0 5
5 0 0 0 6
6 0 0 0 7
7 0 0 0 8
8 0 0 0 9
9 0 0 0 10
10 0 0 0 11
11 0 0 0 12
12 0 0 0 13
13 0 0 0 14
14 0 0 0 15
15 0 0 0 16
############################################################
############################################################
# Current time step                      : 1000000
# Total number of measurements           : 50000
# Average temperature of the measurement : 0.00997005
# Boltzmann constant under current units : 1
# basis vector A1 = [1 0 0]
# basis vector A2 = [0 2 0]
# basis vector A3 = [0 0 0.0002]
############################################################
# qx	 qy 	 qz 		 Phi(q)
0 0 0 0 0
0.0625 0 0 0.173892 0
0.125 0 0 0.618508 0
0.1875 0 0 1.3185 0
0.25 0 0 1.97829 0
0.3125 0 0 2.68007 0
0.375 0 0 3.48369 0
0.4375 0 0 3.7687 0
0.5 0 0 3.91763 0
0.5625 0 0 3.7687 0
0.625 0 0 3.48369 0
0.6875 0 0 2.68007 0
0.75 0 0 1.97829 0
0.8125 0 0 1.3185 0
0.875 0 0 0.618508 0
0.9375 0 0 0.173892 0
############################################################
# Current time step                      : 1500000
# Total number of measurements           : 100000
# Average temperature of the measurement : 0.00998277
# Boltzmann constant under current units : 1
# basis vector A1 = [1 0 0]
# basis vector A2 = [0 2 0]
# basis vector A3 = [0 0 0.0002]
############################################################
# qx	 qy 	 qz 		 Phi(q)
0 0 0 0 0
0.0625 0 0 0.18131 0
0.125 0 0 0.590425 0
0.1875 0 0 1.26414 0
0.25 0 0 1.9715 0
0.3125 0 0 2.69751 0
0.375 0 0 3.38809 0
0.4375 0 0 3.89873 0
0.5 0 0 3.75589 0
0.5625 0 0 3.89873 0
0.625 0 0 3.38809 0
0.6875 0 0 2.69751 0
0.75 0 0 1.9715 0
0.8125 0 0 1.26414 0
0.875 0 0 0.590425 0
0.9375 0 0 0.18131 0
############################################################
# Current time step                      : 2000000
# Total number of measurements           : 150000
# Average temperature of the measurement : 0.00999822
# Boltzmann constant under current units : 1
# basis vector A1 = [1 0 0]
# basis vector A2 = [0 2 0]
# basis vector A3 = [0 0 0.0002]
############################################################
# qx	 qy 	 qz 		 Phi(q)
0 0 0 0 0
0.0625 0 0 0.17622 0
0.125 0 0 0.599973 0
0.1875 0 0 1.26056 0
0.25 0 0 1.95344 0
0.3125 0 0 2.7294 0
0.375 0 0 3.43409 0
0.4375 0 0 3.88802 0
0.5 0 0 3.82208 0
0.5625 0 0 3.88802 0
0.625 0 0 3.43409 0
0.6875 0 0 2.7294 0
0.75 0 0 1.95344 0
0.8125 0 0 1.26056 0
0.875 0 0 0.599973 0
0.9375 0 0 0.17622 0
