# q     qr    freq
# 2pi/L  2pi/L THz
0 0 0 0  0 0 0
0.0147059 0 0.0147059 0.0207973  0.238861 0.335587 0.373368
0.0294118 0 0.0294118 0.0415945  0.475494 0.628208 0.735585
0.0441176 0 0.0441176 0.0623918  0.707212 0.878394 1.08724
0.0588235 0 0.0588235 0.083189  0.933519 1.09018 1.42759
0.0735294 0 0.0735294 0.103986  1.15381 1.27132 1.75587
0.0882353 0 0.0882353 0.124784  1.36741 1.43317 2.07124
0.102941 0 0.102941 0.145581  1.57255 1.59089 2.37273
0.117647 0 0.117647 0.166378  1.75284 1.77498 2.6592
0.132353 0 0.132353 0.187175  1.94367 1.96777 2.93394
0.147059 0 0.147059 0.207973  2.16515 2.17238 3.2186
0.161765 0 0.161765 0.22877  2.3773 2.40091 3.50716
0.176471 0 0.176471 0.249567  2.58477 2.62613 3.7923
0.191176 0 0.191176 0.270364  2.78656 2.83603 4.06963
0.205882 0 0.205882 0.291162  2.97851 3.0282 4.33681
0.220588 0 0.220588 0.311959  3.15689 3.20423 4.5927
0.235294 0 0.235294 0.332756  3.32001 3.36668 4.83648
0.25 0 0.25 0.353553  3.47014 3.51611 5.06694
0.264706 0 0.264706 0.374351  3.61807 3.66265 5.29618
0.279412 0 0.279412 0.395148  3.76247 3.81536 5.53025
0.294118 0 0.294118 0.415945  3.89461 3.96979 5.75909
0.308824 0 0.308824 0.436742  4.01338 4.11824 5.97512
0.323529 0 0.323529 0.45754  4.11953 4.25524 6.17372
0.338235 0 0.338235 0.478337  4.21502 4.37766 6.35302
0.352941 0 0.352941 0.499134  4.30314 4.48371 6.51322
0.367647 0 0.367647 0.519931  4.38775 4.57247 6.65552
0.382353 0 0.382353 0.540729  4.47338 4.645 6.78254
0.397059 0 0.397059 0.561526  4.56645 4.70724 6.90415
0.411765 0 0.411765 0.582323  4.65844 4.7583 7.01847
0.426471 0 0.426471 0.60312  4.73886 4.79826 7.12127
0.441176 0 0.441176 0.623918  4.796 4.83261 7.20883
0.455882 0 0.455882 0.644715  4.82152 4.86836 7.27842
0.470588 0 0.470588 0.665512  4.82941 4.89477 7.32847
0.485294 0 0.485294 0.68631  4.83001 4.90845 7.35847
0.5 0 0.5 0.707107  4.82901 4.91234 7.36845
0.5 0 0.5 0.707107  4.82901 4.91234 7.36845
0.5 0.0147059 0.514706 0.727904  4.83425 4.91613 7.36377
0.5 0.0294118 0.529412 0.748701  4.8487 4.92928 7.35104
0.5 0.0441176 0.544118 0.769499  4.86839 4.95588 7.33161
0.5 0.0588235 0.558824 0.790296  4.88914 4.99881 7.30617
0.5 0.0735294 0.573529 0.811093  4.90902 5.05697 7.27477
0.5 0.0882353 0.588235 0.83189  4.92642 5.12714 7.23696
0.5 0.102941 0.602941 0.852688  4.93842 5.20603 7.19184
0.5 0.117647 0.617647 0.873485  4.94121 5.29059 7.13827
0.5 0.132353 0.632353 0.894282  4.93145 5.37952 7.07407
0.5 0.147059 0.647059 0.915079  4.9101 5.48026 6.99498
0.5 0.161765 0.661765 0.935877  4.88174 5.59269 6.90531
0.5 0.176471 0.676471 0.956674  4.85153 5.71417 6.81002
0.5 0.191176 0.691176 0.977471  4.82403 5.8412 6.71288
0.5 0.205882 0.705882 0.998268  4.80238 5.96952 6.61612
0.5 0.220588 0.720588 1.01907  4.78786 6.09437 6.52022
0.5 0.235294 0.735294 1.03986  4.77997 6.21069 6.42428
0.5 0.25 0.75 1.06066  4.77701 6.3069 6.33315
0.5 0.25 0.75 1.06066  4.77701 6.3069 6.33315
0.484375 0.265625 0.75 1.08276  4.76729 6.21651 6.41786
0.46875 0.28125 0.75 1.10485  4.73467 6.11041 6.50846
0.453125 0.296875 0.75 1.12695  4.67733 6.0208 6.58741
0.4375 0.3125 0.75 1.14905  4.59986 5.95735 6.65382
0.421875 0.328125 0.75 1.17115  4.51449 5.92059 6.70704
0.40625 0.34375 0.75 1.19324  4.43756 5.90405 6.74648
0.390625 0.359375 0.75 1.21534  4.384 5.89865 6.77136
0.375 0.375 0.75 1.23744  4.3634 5.89601 6.78042
0.375 0.375 0.75 1.23744  4.3634 5.89601 6.78042
0.366667 0.366667 0.733333 1.25785  4.29866 5.9635 6.70283
0.358333 0.358333 0.716667 1.27826  4.22582 6.02898 6.61352
0.35 0.35 0.7 1.29867  4.14604 6.09232 6.51592
0.341667 0.341667 0.683333 1.31909  4.0608 6.15218 6.41376
0.333333 0.333333 0.666667 1.3395  3.97191 6.20381 6.31292
0.325 0.325 0.65 1.35991  3.88153 6.18766 6.27276
0.316667 0.316667 0.633333 1.38032  3.79231 6.08946 6.30608
0.308333 0.308333 0.616667 1.40074  3.70579 5.98385 6.33421
0.3 0.3 0.6 1.42115  3.61511 5.864 6.35411
0.291667 0.291667 0.583333 1.44156  3.52083 5.73139 6.36643
0.283333 0.283333 0.566667 1.46197  3.42466 5.58918 6.37223
0.275 0.275 0.55 1.48239  3.32787 5.44101 6.37165
0.266667 0.266667 0.533333 1.5028  3.23148 5.29134 6.36311
0.258333 0.258333 0.516667 1.52321  3.13676 5.14555 6.34336
0.25 0.25 0.5 1.54362  3.04574 5.00965 6.30833
0.241667 0.241667 0.483333 1.56404  2.95521 4.87875 6.25233
0.233333 0.233333 0.466667 1.58445  2.85988 4.74437 6.17508
0.225 0.225 0.45 1.60486  2.76023 4.60715 6.08148
0.216667 0.216667 0.433333 1.62527  2.65746 4.46757 5.97646
0.208333 0.208333 0.416667 1.64569  2.55343 4.32628 5.86409
0.2 0.2 0.4 1.6661  2.45048 4.18435 5.74703
0.191667 0.191667 0.383333 1.68651  2.35133 4.04353 5.62644
0.183333 0.183333 0.366667 1.70692  2.25703 3.90363 5.49988
0.175 0.175 0.35 1.72733  2.15804 3.75072 5.35199
0.166667 0.166667 0.333333 1.74775  2.05162 3.584 5.18102
0.158333 0.158333 0.316667 1.76816  1.93729 3.40619 4.98927
0.15 0.15 0.3 1.78857  1.81602 3.22107 4.78099
0.141667 0.141667 0.283333 1.80898  1.6912 3.03384 4.56267
0.133333 0.133333 0.266667 1.8294  1.56981 2.85167 4.34296
0.125 0.125 0.25 1.84981  1.46349 2.68425 4.13235
0.116667 0.116667 0.233333 1.87022  1.37741 2.5279 3.92412
0.108333 0.108333 0.216667 1.89063  1.30419 2.36935 3.70345
0.1 0.1 0.2 1.91105  1.23972 2.20613 3.46941
0.0916667 0.0916667 0.183333 1.93146  1.17966 2.03673 3.22166
0.0833333 0.0833333 0.166667 1.95187  1.12033 1.86162 2.96165
0.075 0.075 0.15 1.97228  1.05948 1.68451 2.69378
0.0666667 0.0666667 0.133333 1.9927  0.996976 1.51413 2.42696
0.0583333 0.0583333 0.116667 2.01311  0.934149 1.36148 2.17153
