############################################################
# group name of the atoms under study      : all
# total number of atoms in the group       : 200
# dimension of the system                  : 3 D
# number of atoms per unit cell            : 2
# dimension of the FFT mesh                : 10 x 10 x 1
# number of wait steps before measurement  : 1000000
# frequency of the measurement             : 10
# output result after this many measurement: 50000
# number of processors used by this run    : 4
############################################################
# mapping information between lattice indices and atom id
# nx ny nz nucell
10 10 1 2
# l1 l2 l3 k atom_id
0 0 0 0 1
0 0 0 1 2
0 1 0 0 21
0 1 0 1 22
0 2 0 0 41
0 2 0 1 42
0 3 0 0 61
0 3 0 1 62
0 4 0 0 81
0 4 0 1 82
0 5 0 0 101
0 5 0 1 102
0 6 0 0 121
0 6 0 1 122
0 7 0 0 141
0 7 0 1 142
0 8 0 0 161
0 8 0 1 162
0 9 0 0 181
0 9 0 1 182
1 0 0 0 3
1 0 0 1 4
1 1 0 0 23
1 1 0 1 24
1 2 0 0 43
1 2 0 1 44
1 3 0 0 63
1 3 0 1 64
1 4 0 0 83
1 4 0 1 84
1 5 0 0 103
1 5 0 1 104
1 6 0 0 123
1 6 0 1 124
1 7 0 0 143
1 7 0 1 144
1 8 0 0 163
1 8 0 1 164
1 9 0 0 183
1 9 0 1 184
2 0 0 0 5
2 0 0 1 6
2 1 0 0 25
2 1 0 1 26
2 2 0 0 45
2 2 0 1 46
2 3 0 0 65
2 3 0 1 66
2 4 0 0 85
2 4 0 1 86
2 5 0 0 105
2 5 0 1 106
2 6 0 0 125
2 6 0 1 126
2 7 0 0 145
2 7 0 1 146
2 8 0 0 165
2 8 0 1 166
2 9 0 0 185
2 9 0 1 186
3 0 0 0 7
3 0 0 1 8
3 1 0 0 27
3 1 0 1 28
3 2 0 0 47
3 2 0 1 48
3 3 0 0 67
3 3 0 1 68
3 4 0 0 87
3 4 0 1 88
3 5 0 0 107
3 5 0 1 108
3 6 0 0 127
3 6 0 1 128
3 7 0 0 147
3 7 0 1 148
3 8 0 0 167
3 8 0 1 168
3 9 0 0 187
3 9 0 1 188
4 0 0 0 9
4 0 0 1 10
4 1 0 0 29
4 1 0 1 30
4 2 0 0 49
4 2 0 1 50
4 3 0 0 69
4 3 0 1 70
4 4 0 0 89
4 4 0 1 90
4 5 0 0 109
4 5 0 1 110
4 6 0 0 129
4 6 0 1 130
4 7 0 0 149
4 7 0 1 150
4 8 0 0 169
4 8 0 1 170
4 9 0 0 189
4 9 0 1 190
5 0 0 0 11
5 0 0 1 12
5 1 0 0 31
5 1 0 1 32
5 2 0 0 51
5 2 0 1 52
5 3 0 0 71
5 3 0 1 72
5 4 0 0 91
5 4 0 1 92
5 5 0 0 111
5 5 0 1 112
5 6 0 0 131
5 6 0 1 132
5 7 0 0 151
5 7 0 1 152
5 8 0 0 171
5 8 0 1 172
5 9 0 0 191
5 9 0 1 192
6 0 0 0 13
6 0 0 1 14
6 1 0 0 33
6 1 0 1 34
6 2 0 0 53
6 2 0 1 54
6 3 0 0 73
6 3 0 1 74
6 4 0 0 93
6 4 0 1 94
6 5 0 0 113
6 5 0 1 114
6 6 0 0 133
6 6 0 1 134
6 7 0 0 153
6 7 0 1 154
6 8 0 0 173
6 8 0 1 174
6 9 0 0 193
6 9 0 1 194
7 0 0 0 15
7 0 0 1 16
7 1 0 0 35
7 1 0 1 36
7 2 0 0 55
7 2 0 1 56
7 3 0 0 75
7 3 0 1 76
7 4 0 0 95
7 4 0 1 96
7 5 0 0 115
7 5 0 1 116
7 6 0 0 135
7 6 0 1 136
7 7 0 0 155
7 7 0 1 156
7 8 0 0 175
7 8 0 1 176
7 9 0 0 195
7 9 0 1 196
8 0 0 0 17
8 0 0 1 18
8 1 0 0 37
8 1 0 1 38
8 2 0 0 57
8 2 0 1 58
8 3 0 0 77
8 3 0 1 78
8 4 0 0 97
8 4 0 1 98
8 5 0 0 117
8 5 0 1 118
8 6 0 0 137
8 6 0 1 138
8 7 0 0 157
8 7 0 1 158
8 8 0 0 177
8 8 0 1 178
8 9 0 0 197
8 9 0 1 198
9 0 0 0 19
9 0 0 1 20
9 1 0 0 39
9 1 0 1 40
9 2 0 0 59
9 2 0 1 60
9 3 0 0 79
9 3 0 1 80
9 4 0 0 99
9 4 0 1 100
9 5 0 0 119
9 5 0 1 120
9 6 0 0 139
9 6 0 1 140
9 7 0 0 159
9 7 0 1 160
9 8 0 0 179
9 8 0 1 180
9 9 0 0 199
9 9 0 1 200
############################################################
############################################################
# Current time step                      : 1500000
# Total number of measurements           : 50000
# Average temperature of the measurement : 299.207
# Boltzmann constant under current units : 8.61734e-05
# basis vector A1 = [2.522 0 0]
# basis vector A2 = [1.261 2.18412 0]
# basis vector A3 = [0 0 20]
############################################################
# qx	 qy 	 qz 		 Phi(q)
0 0 0 8.43378 0 0.0524102 0 -0.00274223 0 -8.43378 0 -0.0524102 0 0.00274223 0 0.0524102 0 8.57877 0 0.0166757 0 -0.0524102 0 -8.57877 0 -0.0166757 0 -0.00274223 0 0.0166757 0 1.58192 0 0.00274223 0 -0.0166757 0 -1.58192 0 -8.43378 0 -0.0524102 -0 0.00274223 0 8.43378 0 0.0524102 -0 -0.00274223 0 -0.0524102 -0 -8.57877 0 -0.0166757 0 0.0524102 -0 8.57877 0 0.0166757 0 0.00274223 0 -0.0166757 0 -1.58192 0 -0.00274223 0 0.0166757 0 1.58192 0
0 0.1 0 8.45865 -1.57132e-17 0.0313848 -0.0670883 -0.0194283 0.0306074 -7.92913 2.07792 -0.0181389 0.0708635 0.0126554 -0.0339813 0.0313848 0.0670883 8.67588 2.09223e-15 0.0204623 0.00283143 -0.0472365 -0.055147 -8.15204 1.3109 -0.020654 0.0011563 -0.0194283 -0.0306074 0.0204623 -0.00283143 1.53359 -1.94079e-14 0.0260891 0.0246201 -0.0209036 0.00569665 -1.49974 0.313909 -7.92913 -2.07792 -0.0472365 0.055147 0.0260891 -0.0246201 8.45412 -1.45863e-19 0.0369009 -0.0638466 -0.0205221 0.0295213 -0.0181389 -0.0708635 -8.15204 -1.3109 -0.0209036 -0.00569665 0.0369009 0.0638466 8.67941 2.43673e-15 0.0215228 0.00163985 0.0126554 0.0339813 -0.020654 -0.0011563 -1.49974 -0.313909 -0.0205221 -0.0295213 0.0215228 -0.00163985 1.53362 -1.94137e-14
0 0.2 0 8.30566 4.00549e-20 0.0175437 -0.0455312 0.00373773 -0.00519943 -6.35143 3.49184 0.0423392 0.052135 -0.000786938 0.00551899 0.0175437 0.0455312 9.03774 -3.02882e-19 -0.00728692 -0.01393 -0.0334937 -0.0392115 -7.18405 2.19161 0.0109126 0.0108956 0.00373773 0.00519943 -0.00728692 0.01393 1.36922 -1.09861e-20 -0.00605697 -0.00203537 0.00362706 -0.00467695 -1.24519 0.513571 -6.35143 -3.49184 -0.0334937 0.0392115 -0.00605697 0.00203537 8.31261 0 -0.0217653 -0.0699163 0.00483789 -0.00393172 0.0423392 -0.052135 -7.18405 -2.19161 0.00362706 0.00467695 -0.0217653 0.0699163 9.02324 1.98725e-20 -0.00436058 -0.00383778 -0.000786938 -0.00551899 0.0109126 -0.0108956 -1.24519 -0.513571 0.00483789 0.00393172 -0.00436058 0.00383778 1.3692 -7.61083e-21
0 0.3 0 7.83341 6.94766e-19 -0.00282051 0.0254569 0.0120837 0.0135292 -4.05366 3.46921 0.000286961 -0.0229977 -0.017155 -0.00422589 -0.00282051 -0.0254569 9.30184 8.95685e-20 0.0098689 0.0241304 -0.0264623 -0.0128054 -5.59148 2.21746 -0.0183196 -0.0166895 0.0120837 -0.0135292 0.0098689 -0.0241304 1.16557 3.34697e-16 -0.000829028 -0.0184485 0.00880719 0.0231862 -0.924326 0.521473 -4.05366 -3.46921 -0.0264623 0.0128054 -0.000829028 0.0184485 7.82731 -3.81028e-16 0.00703505 -0.0214573 -0.00689318 -0.0157676 0.000286961 0.0229977 -5.59148 -2.21746 0.00880719 -0.0231862 0.00703505 0.0214573 9.27492 1.90232e-16 0.00156962 0.024344 -0.017155 0.00422589 -0.0183196 0.0166895 -0.924326 -0.521473 -0.00689318 0.0157676 0.00156962 -0.024344 1.16598 3.50642e-16
0 0.4 0 7.54342 -1.14964e-16 -0.000232356 0.00422193 0.00728633 -0.00626353 -2.26509 2.18353 -0.00956879 -0.0049884 0.00373069 -0.00570847 -0.000232356 -0.00422193 9.42377 2.56155e-20 0.0252172 -0.0198511 0.0118469 0.00429529 -4.39389 1.2605 -0.0102005 0.0345637 0.00728633 0.00626353 0.0252172 0.0198511 0.966017 -7.29181e-21 -0.00409151 0.00379111 -0.0329568 -0.0144462 -0.638619 0.316828 -2.26509 -2.18353 0.0118469 -0.00429529 -0.00409151 -0.00379111 7.52769 -9.53305e-17 0.00248561 -0.00832107 -0.0102668 0.00734491 -0.00956879 0.0049884 -4.39389 -1.2605 -0.0329568 0.0144462 0.00248561 0.00832107 9.44137 2.61678e-20 0.0209772 -0.026983 0.00373069 0.00570847 -0.0102005 -0.0345637 -0.638619 -0.316828 -0.0102668 -0.00734491 0.0209772 0.026983 0.966374 2.33338e-20
0 0.5 0 7.34625 0 -0.0263858 0 -0.000941422 0 -1.39345 0 0.00211181 0 -0.00315799 0 -0.0263858 0 9.62558 0 0.00110422 0 0.0189518 0 -4.09894 0 0.0183559 0 -0.000941422 0 0.00110422 0 0.890538 0 0.00768048 0 0.019276 0 -0.528655 0 -1.39345 0 0.0189518 0 0.00768048 0 7.36223 0 -0.015523 0 -0.00307506 0 0.00211181 0 -4.09894 0 0.019276 0 -0.015523 0 9.65688 0 0.00925491 0 -0.00315799 0 0.0183559 0 -0.528655 0 -0.00307506 0 0.00925491 0 0.892194 0
