# q     qr    freq
# 2pi/L  2pi/L THz
0 0 0 0  -1.11621e-06 -6.8296e-07 -3.04927e-07 27.9436 64.7741 65.1206
0.025 0.025 0 0.0353553  0.388597 2.74825 2.98268 27.8692 64.6792 64.9653
0.05 0.05 0 0.0707107  0.536808 4.76732 5.62175 27.7018 64.4446 64.6241
0.075 0.075 0 0.106066  0.497785 6.30176 8.00779 27.4987 64.053 64.3404
0.1 0.1 0 0.141421  0.578135 7.93153 10.2331 27.2573 63.6084 64.1325
0.125 0.125 0 0.176777  1.01429 10.0347 12.4851 26.9297 63.1204 63.9205
0.15 0.15 0 0.212132  1.46628 12.1967 14.762 26.5308 62.5549 63.6414
0.175 0.175 0 0.247487  1.89283 14.2179 17.0341 26.0965 61.9179 63.2545
0.2 0.2 0 0.282843  2.37335 16.19 19.2947 25.6258 61.1479 62.8462
0.225 0.225 0 0.318198  3.00088 18.3466 21.6405 25.0668 60.1167 62.4943
0.25 0.25 0 0.353553  3.68168 20.5797 23.9359 24.4303 58.8946 62.1168
0.275 0.275 0 0.388909  4.34887 22.7191 23.7683 26.043 57.6568 61.6313
0.3 0.3 0 0.424264  5.01898 23.1093 24.741 27.9598 56.4713 61.0758
0.325 0.325 0 0.459619  5.77428 22.4086 26.8129 29.837 55.2402 60.5022
0.35 0.35 0 0.494975  6.55997 21.6559 28.9129 31.5944 53.9114 59.9288
0.375 0.375 0 0.53033  7.2877 20.9156 30.8954 33.0663 52.5447 59.3842
0.4 0.4 0 0.565685  7.93551 20.2486 32.7308 34.2573 51.1858 58.8957
0.425 0.425 0 0.601041  8.55666 19.6383 34.5666 35.3128 49.7453 58.4539
0.45 0.45 0 0.636396  9.07644 19.1094 36.1167 36.2802 48.2636 58.1523
0.475 0.475 0 0.671751  9.38449 18.7556 36.5404 37.4767 47.0746 58.0596
0.5 0.5 0 0.707107  9.46753 18.6375 36.6283 37.8862 46.6183 58.0754
0.5 0.5 0 0.707107  9.46753 18.6375 36.6283 37.8862 46.6183 58.0754
0.483333 0.516667 0 0.730677  9.53225 18.5968 36.6996 37.9824 46.6257 57.98
0.466667 0.533333 0 0.754247  9.71247 18.4705 36.8819 38.2383 46.6341 57.7304
0.45 0.55 0 0.777817  9.98987 18.2524 37.1359 38.6055 46.6148 57.3817
0.433333 0.566667 0 0.801388  10.3508 17.9397 37.4456 39.043 46.5384 56.9779
0.416667 0.583333 0 0.824958  10.7862 17.5354 37.8198 39.5225 46.3847 56.5446
0.4 0.6 0 0.848528  11.2911 17.0489 38.2847 40.0255 46.1458 56.0895
0.383333 0.616667 0 0.872098  11.8918 16.463 38.8843 40.549 45.81 55.6051
0.366667 0.633333 0 0.895669  12.5928 15.7668 39.6197 40.9845 45.4103 55.1505
0.35 0.65 0 0.919239  13.3643 14.9844 40.4039 41.1595 45.0461 54.8327
0.333333 0.666667 0 0.942809  14.1406 14.1858 40.9366 41.0269 44.9098 54.742
0.333333 0.666667 0 0.942809  14.1406 14.1858 40.9366 41.0269 44.9098 54.742
0.316667 0.633333 0 0.980077  13.274 15.0616 40.3164 41.0347 45.2017 54.9045
0.3 0.6 0 1.01734  12.3715 15.9487 39.2842 40.4967 46.03 55.2817
0.283333 0.566667 0 1.05461  11.4419 16.858 38.0157 39.5997 47.2343 55.761
0.266667 0.533333 0 1.09188  10.4472 17.8213 36.3959 38.3935 48.6905 56.4355
0.25 0.5 0 1.12915  9.47752 18.7678 34.5854 36.9846 50.1452 57.2347
0.233333 0.466667 0 1.16642  8.5121 19.7464 32.6547 35.3424 51.5543 58.048
0.216667 0.433333 0 1.20368  7.49426 20.7623 30.5242 33.4618 52.978 58.8792
0.2 0.4 0 1.24095  6.52739 21.695 28.3658 31.5251 54.3516 59.6969
0.183333 0.366667 0 1.27822  5.63994 22.5594 26.1483 29.4583 55.7508 60.5427
0.166667 0.333333 0 1.31549  4.75015 23.4054 23.7183 27.133 57.2113 61.3462
0.15 0.3 0 1.35275  3.91843 21.2961 24.177 24.7519 58.5744 61.9546
0.133333 0.266667 0 1.39002  3.18012 18.9485 22.2648 24.8885 59.8194 62.4661
0.116667 0.233333 0 1.42729  2.44849 16.4548 19.4978 25.5705 60.9634 63.041
0.1 0.2 0 1.46456  1.77934 14.0073 16.7422 26.1568 61.8987 63.5506
0.0833333 0.166667 0 1.50183  1.31432 11.7471 14.1904 26.6411 62.6334 63.8698
0.0666667 0.133333 0 1.53909  0.923438 9.42022 11.6112 27.0576 63.2842 64.1289
0.05 0.1 0 1.57636  0.560453 7.13496 9.0116 27.3836 63.8752 64.3801
0.0333333 0.0666667 0 1.61363  0.492018 5.10548 6.38829 27.6403 64.424 64.5847
0.0166667 0.0333333 0 1.6509  0.384285 2.83964 3.4371 27.8508 64.712 64.9157
4.85723e-17 9.71445e-17 0 1.68817  -1.11621e-06 -6.8296e-07 -3.04927e-07 27.9436 64.7741 65.1206
