Tinker BiTorsion parameter file for fix bitorsion

3 bitorsion types

1 25 25
  -180.0 -180.0 0.98936
  -165.0 -180.0 0.76408
  -150.0 -180.0 0.21674
  -135.0 -180.0 -0.182
  -120.0 -180.0 -0.37729
  -105.0 -180.0 -0.47834
  -90.0 -180.0 -0.59267
  -75.0 -180.0 -0.93985
  -60.0 -180.0 -1.55558
  -45.0 -180.0 -2.01849
  -30.0 -180.0 -1.94076
  -15.0 -180.0 -1.464
  0.0 -180.0 0.18253
  15.0 -180.0 -0.80364
  30.0 -180.0 -1.32974
  45.0 -180.0 -1.31658
  60.0 -180.0 -0.5014
  75.0 -180.0 0.20431
  90.0 -180.0 0.39356
  105.0 -180.0 0.20356
  120.0 -180.0 -0.16993
  135.0 -180.0 -0.22733
  150.0 -180.0 0.13703
  165.0 -180.0 0.66356
  180.0 -180.0 0.98936
  -180.0 -165.0 0.96101
  -165.0 -165.0 0.37535
  -150.0 -165.0 -0.35733
  -135.0 -165.0 -0.69994
  -120.0 -165.0 -0.67298
  -105.0 -165.0 -0.58294
  -90.0 -165.0 -0.66465
  -75.0 -165.0 -1.02945
  -60.0 -165.0 -1.72427
  -45.0 -165.0 -2.19357
  -30.0 -165.0 -2.26378
  -15.0 -165.0 -1.7385
  0.0 -165.0 -0.80969
  15.0 -165.0 -1.16164
  30.0 -165.0 -1.62772
  45.0 -165.0 -1.51932
  60.0 -165.0 -0.62569
  75.0 -165.0 0.1313
  90.0 -165.0 0.41019
  105.0 -165.0 0.32974
  120.0 -165.0 0.19191
  135.0 -165.0 0.3232
  150.0 -165.0 0.68257
  165.0 -165.0 1.03015
  180.0 -165.0 0.96101
  -180.0 -150.0 0.72651
  -165.0 -150.0 -0.04361
  -150.0 -150.0 -0.78147
  -135.0 -150.0 -0.90703
  -120.0 -150.0 -0.65095
  -105.0 -150.0 -0.48165
  -90.0 -150.0 -0.59657
  -75.0 -150.0 -1.14449
  -60.0 -150.0 -1.75396
  -45.0 -150.0 -2.279
  -30.0 -150.0 -2.14873
  -15.0 -150.0 -0.26757
  0.0 -150.0 -0.77578
  15.0 -150.0 -1.30595
  30.0 -150.0 -1.79607
  45.0 -150.0 -1.55982
  60.0 -150.0 -0.57905
  75.0 -150.0 0.30576
  90.0 -150.0 0.70711
  105.0 -150.0 0.68903
  120.0 -150.0 0.53594
  135.0 -150.0 0.60304
  150.0 -150.0 0.88805
  165.0 -150.0 0.9972
  180.0 -150.0 0.72651
  -180.0 -135.0 0.155
  -165.0 -135.0 -0.20013
  -150.0 -135.0 -0.7966
  -135.0 -135.0 -0.74958
  -120.0 -135.0 -0.43624
  -105.0 -135.0 -0.36715
  -90.0 -135.0 -0.58938
  -75.0 -135.0 -0.99698
  -60.0 -135.0 -1.59208
  -45.0 -135.0 -1.67026
  -30.0 -135.0 0.50672
  -15.0 -135.0 -0.03293
  0.0 -135.0 -0.84501
  15.0 -135.0 -1.52731
  30.0 -135.0 -1.89898
  45.0 -135.0 -1.54469
  60.0 -135.0 -0.53752
  75.0 -135.0 0.40003
  90.0 -135.0 0.88952
  105.0 -135.0 0.8215
  120.0 -135.0 0.58663
  135.0 -135.0 0.56781
  150.0 -135.0 0.74002
  165.0 -135.0 0.84486
  180.0 -135.0 0.155
  -180.0 -120.0 0.34021
  -165.0 -120.0 -0.20306
  -150.0 -120.0 -0.62787
  -135.0 -120.0 -0.55418
  -120.0 -120.0 -0.38986
  -105.0 -120.0 -0.44533
  -90.0 -120.0 -0.60179
  -75.0 -120.0 -0.93351
  -60.0 -120.0 -1.09198
  -45.0 -120.0 -0.18408
  -30.0 -120.0 1.24545
  -15.0 -120.0 -0.24279
  0.0 -120.0 -1.24581
  15.0 -120.0 -1.76363
  30.0 -120.0 -1.8081
  45.0 -120.0 -1.40319
  60.0 -120.0 -0.63233
  75.0 -120.0 0.15411
  90.0 -120.0 0.5864
  105.0 -120.0 0.51937
  120.0 -120.0 0.25822
  135.0 -120.0 0.13668
  150.0 -120.0 0.23659
  165.0 -120.0 0.46899
  180.0 -120.0 0.34021
  -180.0 -105.0 -0.15437
  -165.0 -105.0 -0.1406
  -150.0 -105.0 -0.54321
  -135.0 -105.0 -0.58112
  -120.0 -105.0 -0.64967
  -105.0 -105.0 -0.71916
  -90.0 -105.0 -0.78801
  -75.0 -105.0 -0.76163
  -60.0 -105.0 -0.33401
  -45.0 -105.0 0.9172
  -30.0 -105.0 0.65423
  -15.0 -105.0 -0.84456
  0.0 -105.0 -1.63476
  15.0 -105.0 -1.65992
  30.0 -105.0 -1.33178
  45.0 -105.0 -1.08999
  60.0 -105.0 -0.74243
  75.0 -105.0 -0.33157
  90.0 -105.0 -0.20618
  105.0 -105.0 -0.07103
  120.0 -105.0 -0.25941
  135.0 -105.0 -0.37634
  150.0 -105.0 -0.12892
  165.0 -105.0 0.19386
  180.0 -105.0 -0.15437
  -180.0 -90.0 0.4463
  -165.0 -90.0 0.02406
  -150.0 -90.0 -0.42821
  -135.0 -90.0 -0.76736
  -120.0 -90.0 -0.93537
  -105.0 -90.0 -0.86621
  -90.0 -90.0 -0.66178
  -75.0 -90.0 -0.23513
  -60.0 -90.0 0.41508
  -45.0 -90.0 0.97897
  -30.0 -90.0 -0.30358
  -15.0 -90.0 -1.42025
  0.0 -90.0 -1.62146
  15.0 -90.0 -0.98816
  30.0 -90.0 -0.58148
  45.0 -90.0 -0.49791
  60.0 -90.0 -0.32045
  75.0 -90.0 -0.39639
  90.0 -90.0 -0.94422
  105.0 -90.0 -0.74539
  120.0 -90.0 -0.60241
  135.0 -90.0 -0.56295
  150.0 -90.0 -0.15877
  165.0 -90.0 0.33609
  180.0 -90.0 0.4463
  -180.0 -75.0 0.69562
  -165.0 -75.0 0.16403
  -150.0 -75.0 -0.43627
  -135.0 -75.0 -0.79169
  -120.0 -75.0 -0.80743
  -105.0 -75.0 -0.48767
  -90.0 -75.0 0.12397
  -75.0 -75.0 0.80972
  -60.0 -75.0 0.52616
  -45.0 -75.0 -0.13884
  -30.0 -75.0 -1.08459
  -15.0 -75.0 -1.556
  0.0 -75.0 -1.12531
  15.0 -75.0 -0.19831
  30.0 -75.0 -0.00344
  45.0 -75.0 0.01061
  60.0 -75.0 0.11066
  75.0 -75.0 -0.12406
  90.0 -75.0 -0.8198
  105.0 -75.0 -1.04369
  120.0 -75.0 -0.62525
  135.0 -75.0 -0.37223
  150.0 -75.0 0.09012
  165.0 -75.0 0.58855
  180.0 -75.0 0.69562
  -180.0 -60.0 0.70531
  -165.0 -60.0 0.15456
  -150.0 -60.0 -0.40882
  -135.0 -60.0 -0.57653
  -120.0 -60.0 -0.20146
  -105.0 -60.0 0.21285
  -90.0 -60.0 0.15007
  -75.0 -60.0 0.06572
  -60.0 -60.0 -0.22861
  -45.0 -60.0 -0.75313
  -30.0 -60.0 -1.17725
  -15.0 -60.0 -1.0704
