Position data for MD simulation
				
6000 atoms			
2 atom types		
0.0000 39.972658977840510 xlo xhi	
0.0000 39.970082402467646 ylo yhi	
0.0000 43.077168594479417 zlo zhi	
Atoms				

1 1 2.265603 1.699233 2.96682
2 2 2.147625 3.958175 4.336466
3 1 1.997414 2.08615 5.681268
4 2 6.222234 0.12344 4.55833
5 1 4.247865 9.8684 7.188432
6 2 2.226404 4.008191 1.332846
7 1 2.558125 5.881235 2.799624
8 2 2.112892 8.008518 4.084836
9 1 2.366112 6.194696 5.83623
10 2 0.308528 9.773154 7.249786
11 1 1.861699 8.008727 1.634831
12 2 0.245314 5.864464 4.508327
13 1 8.139953 -0.02424 5.747139
14 1 0.178338 3.676069 2.91793
15 2 0.021903 9.933735 1.645872
16 1 4.094944 3.990727 2.989711
17 2 4.25173 6.125247 4.299378
18 1 4.004975 4.261809 5.650881
19 2 4.233414 9.883798 4.412874
20 2 4.158657 5.985987 1.452914
21 1 3.943003 7.917155 2.809851
22 1 4.013002 8.032118 5.709128
23 1 3.913817 0.208102 0.200173
24 2 4.11186 2.115952 4.39711
25 1 4.091794 8.080277 0.383691
26 1 8.239262 4.128528 0.14417
27 1 4.164942 2.294329 1.435205
28 1 6.018476 2.048784 2.978318
29 1 6.189263 4.123374 4.429365
30 1 5.731913 2.039386 5.760723
31 2 8.125123 2.396376 4.334063
32 2 5.956145 3.961461 1.710606
33 1 6.097732 6.223054 3.105619
34 2 6.260701 8.269814 4.403081
35 1 6.135592 6.191014 6.014208
36 2 6.118481 0.280536 1.660297
37 2 5.95371 8.134065 1.459117
38 1 8.112 7.978937 6.025785
39 1 8.230735 0.317331 0.287501
40 1 7.984577 0.451106 2.876758
41 1 8.121358 4.469963 3.000969
42 2 8.0024 6.398776 4.506808
43 1 8.265498 4.145515 5.950951
44 1 8.093687 2.336039 1.599762
45 2 7.786786 6.082031 1.369435
46 1 8.051625 8.388788 2.947011
47 2 1.887169 0.10205 1.232231
48 1 3.814096 0.184819 2.93152
49 2 5.999738 4.024912 6.895817
50 1 0.20906 5.67262 1.62315
51 1 2.22916 6.007717 0.143509
52 1 9.864584 8.16224 1.516273
53 1 0.029687 7.997328 3.090548
54 1 0.158584 7.813035 5.663186
55 1 6.149844 9.939956 0.040852
56 1 1.871208 1.766851 8.960428
57 2 2.233107 3.807827 10.095989
58 1 1.960237 1.933156 11.733738
59 1 2.028536 4.090031 13.399625
60 2 0.096818 1.982978 13.367683
61 1 1.962538 5.967991 8.575587
62 2 1.779869 8.006286 9.997749
63 1 2.261369 6.075808 11.262585
64 1 1.878689 7.795749 12.973992
65 1 8.066595 6.091936 7.32151
66 2 6.004471 8.10958 7.337536
67 2 3.807826 9.773306 13.107995
68 2 3.628292 2.338356 7.627483
69 1 4.142245 4.127148 8.640624
70 2 4.430475 5.841591 10.077295
71 1 3.968136 4.281892 11.552649
72 2 3.926926 6.059939 13.034315
73 1 4.163584 8.009554 8.875445
74 1 3.841536 8.095992 11.564038
75 1 1.972543 4.098752 7.26509
76 1 9.833961 8.179066 10.053046
77 1 3.959427 0.070701 8.628349
78 1 4.000206 1.99734 10.467815
79 1 0.175393 5.813256 10.208259
80 2 3.991668 2.115114 12.987731
81 2 8.056411 2.098025 12.865242
82 1 5.64748 2.156225 8.497216
83 2 6.159432 4.014865 10.196613
84 1 6.214032 2.165249 11.651601
85 1 5.856347 3.961477 13.023239
86 1 7.948437 0.352004 11.304002
87 2 0.129981 2.04383 7.39824
88 1 6.181909 5.856377 8.431434
89 1 5.991539 7.847191 10.091845
90 1 5.975418 5.816241 11.895283
91 1 5.86549 8.043369 13.028812
92 2 4.166236 6.085137 7.231975
93 1 0.439458 3.829864 11.550798
94 2 0.21596 5.973334 12.667734
95 1 10.017517 5.823156 11.545694
96 1 8.076092 4.274718 8.540188
97 2 7.924969 6.011881 10.326107
98 1 8.12022 3.959556 11.608595
99 1 8.110671 6.08702 13.353502
100 1 8.135035 2.224763 9.76071
101 1 8.056404 8.04948 8.608732
102 1 7.867682 7.986347 11.444105
103 1 0.057722 3.824193 8.62711
104 1 9.981584 4.247366 7.362993
105 2 4.013801 9.873296 9.982524
106 1 2.329565 8.116478 7.435377
107 2 5.950495 0.34488 9.79838
108 1 4.334027 0.076447 11.746114
109 2 7.945804 9.995075 13.009688
110 1 2.027284 10.048274 11.752786
111 2 7.985809 2.177851 7.348854
112 2 0.227187 9.715111 13.080145
113 1 4.369771 0.043973 14.298992
114 1 9.913252 6.303629 8.785055
115 1 7.984689 3.996322 14.285297
116 1 6.286022 9.901661 11.434457
117 2 9.978329 0.129998 10.093528
118 2 9.898021 7.994926 13.146433
119 1 2.438629 0.033347 18.603552
120 2 2.19485 3.927092 15.921048
121 1 2.266036 2.0106 17.298124
122 2 2.190625 4.002775 18.808528
123 1 2.529808 1.858131 19.802924
124 1 2.121536 8.100548 15.903723
125 1 1.999174 5.945764 17.409821
126 2 2.399752 8.317077 18.513998
127 1 2.085018 6.322971 20.123548
128 1 0.132331 7.834943 14.417244
129 2 0.191888 2.055829 18.456008
130 1 8.035826 8.278124 14.487514
131 2 3.964165 5.965398 16.034244
132 1 3.977251 4.106829 17.287135
133 1 4.083409 6.186923 18.749777
134 1 4.118697 4.16167 19.924445
135 2 0.168486 10.031098 15.738364
136 1 9.834776 5.750065 20.057158
137 1 4.513739 7.925063 17.284367
138 1 0.224638 6.311966 18.562
139 1 4.05173 8.065927 20.327367
140 1 4.020498 7.877514 14.44079
141 1 4.143142 1.813412 15.801004
142 1 2.214548 1.829361 14.565296
143 2 4.407757 2.318175 18.721975
144 2 6.016403 3.935276 15.745347
145 1 6.343375 1.849436 17.205365
146 2 6.615021 3.988745 18.735217
147 1 6.455591 1.950789 20.137809
148 1 6.179932 9.794709 17.21643
149 2 6.237707 7.849925 15.743301
150 1 6.151976 5.985244 17.227932
151 2 6.178229 7.773511 18.829625
152 1 6.147011 5.845856 20.064817
153 2 4.124664 9.743815 15.83873
154 1 8.065185 1.771116 18.726928
155 1 6.149514 1.938847 14.518073
156 2 8.136444 6.024316 15.560218
157 1 8.139342 3.949043 16.901849
158 1 8.143554 6.219717 18.549219
159 1 8.181775 3.5232 20.518875
160 1 1.876074 6.12577 14.691379
