# Time-averaged data for fix snap
# TimeStep Number-of-rows
# Row c_snap[1] c_snap[2] c_snap[3] c_snap[4] c_snap[5] c_snap[6] c_snap[7] c_snap[8] c_snap[9] c_snap[10] c_snap[11] c_snap[12] c_snap[13] c_snap[14] c_snap[15] c_snap[16] c_snap[17] c_snap[18] c_snap[19] c_snap[20] c_snap[21] c_snap[22] c_snap[23] c_snap[24] c_snap[25] c_snap[26] c_snap[27] c_snap[28] c_snap[29] c_snap[30] c_snap[31] c_snap[32] c_snap[33] c_snap[34] c_snap[35] c_snap[36] c_snap[37] c_snap[38] c_snap[39] c_snap[40] c_snap[41] c_snap[42] c_snap[43]
0 13
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 364183 213523 107428 122916 41227.5 3.31573e+10 3.88807e+10 1.95617e+10 2.23819e+10 7.50718e+09 1.1398e+10 1.14692e+10 1.31227e+10 4.40152e+09 2.88519e+09 6.60228e+09 2.21449e+09 3.77706e+09 2.53375e+09 4.24928e+08 322.87
2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -206.978 -293.105 -434.029 -217.39 0 -3.76889e+07 -5.33719e+07 -7.9033e+07 -3.95849e+07 -2.20973e+07 -4.24099e+07 -5.9058e+07 -2.74755e+07 -1.57438e+07 -4.1327e+07 -1.77189e+07 -2.66745e+07 -2.23073e+07 -4.48124e+06 -20.7188
3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1277.1 -1841.02 -2752.08 -1381.8 0 -2.3255e+08 -3.35235e+08 -5.0113e+08 -2.51613e+08 -1.36345e+08 -2.65149e+08 -3.72304e+08 -1.73849e+08 -9.88886e+07 -2.6097e+08 -1.12172e+08 -1.69137e+08 -1.41653e+08 -2.8484e+07 -106.829
4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 804.916 1147.62 1705.6 855.045 0 1.46568e+08 2.08973e+08 3.10574e+08 1.55696e+08 8.59341e+07 1.65757e+08 2.3156e+08 1.07878e+08 6.16434e+07 1.62145e+08 6.95847e+07 1.04822e+08 8.77079e+07 1.76257e+07 74.8128
5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 206.978 293.105 434.029 217.39 0 3.76889e+07 5.33719e+07 7.9033e+07 3.95849e+07 2.20973e+07 4.24099e+07 5.9058e+07 2.74755e+07 1.57438e+07 4.1327e+07 1.77189e+07 2.66745e+07 2.23073e+07 4.48124e+06 20.7188
6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1277.1 1841.02 2752.08 1381.8 0 2.3255e+08 3.35235e+08 5.0113e+08 2.51613e+08 1.36345e+08 2.65149e+08 3.72304e+08 1.73849e+08 9.88886e+07 2.6097e+08 1.12172e+08 1.69137e+08 1.41653e+08 2.8484e+07 106.829
7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -804.916 -1147.62 -1705.6 -855.045 0 -1.46568e+08 -2.08973e+08 -3.10574e+08 -1.55696e+08 -8.59341e+07 -1.65757e+08 -2.3156e+08 -1.07878e+08 -6.16434e+07 -1.62145e+08 -6.95847e+07 -1.04822e+08 -8.77079e+07 -1.76257e+07 -74.8128
8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -368289 -407156 -507654 -255414 0 -6.70623e+10 -7.41396e+10 -9.24395e+10 -4.65087e+10 -3.93191e+10 -6.32509e+10 -7.68322e+10 -3.48602e+10 -2.18699e+10 -5.2291e+10 -2.21123e+10 -3.11993e+10 -2.61618e+10 -5.26504e+09 1.3152e+08
9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -366906 -404336 -502742 -252940 0 -6.68105e+10 -7.36261e+10 -9.1545e+10 -4.60582e+10 -3.91714e+10 -6.28755e+10 -7.62227e+10 -3.45676e+10 -2.17185e+10 -5.18538e+10 -2.19213e+10 -3.08974e+10 -2.59085e+10 -5.21405e+09 1.2154e+08
10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -367764 -406084 -505786 -254475 0 -6.69666e+10 -7.39444e+10 -9.20993e+10 -4.63376e+10 -3.9263e+10 -6.31081e+10 -7.66004e+10 -3.47491e+10 -2.18124e+10 -5.21248e+10 -2.20397e+10 -3.10845e+10 -2.60656e+10 -5.24568e+09 1.27407e+08
11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1133.9 -1843.91 -2924.6 -1483.25 0 -2.06474e+08 -3.3576e+08 -5.32545e+08 -2.70086e+08 -1.21057e+08 -2.57765e+08 -3.81922e+08 -1.81728e+08 -9.90436e+07 -2.70414e+08 -1.17681e+08 -1.7974e+08 -1.51444e+08 -3.05753e+07 -5.32884e+06
12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -183.403 -298.662 -473.996 -240.251 0 -3.33961e+07 -5.43839e+07 -8.63107e+07 -4.37476e+07 -1.95804e+07 -4.17369e+07 -6.18761e+07 -2.94301e+07 -1.60423e+07 -4.38153e+07 -1.90614e+07 -2.91308e+07 -2.45361e+07 -4.95247e+06 -1.08912e+06
