# Time-averaged data for fix snap
# TimeStep Number-of-rows
# Row c_snap[1] c_snap[2] c_snap[3] c_snap[4] c_snap[5] c_snap[6] c_snap[7] c_snap[8] c_snap[9] c_snap[10] c_snap[11] c_snap[12] c_snap[13]
0 13
1 0 0 0 0 0 0 2 364183 213523 107428 122916 41227.5 322.87
2 0 0 0 0 0 0 0 0 -206.978 -293.105 -434.029 -217.39 -20.7188
3 0 0 0 0 0 0 0 0 -1277.1 -1841.02 -2752.08 -1381.8 -106.829
4 0 0 0 0 0 0 0 0 804.916 1147.62 1705.6 855.045 74.8128
5 0 0 0 0 0 0 0 0 206.978 293.105 434.029 217.39 20.7188
6 0 0 0 0 0 0 0 0 1277.1 1841.02 2752.08 1381.8 106.829
7 0 0 0 0 0 0 0 0 -804.916 -1147.62 -1705.6 -855.045 -74.8128
8 0 0 0 0 0 0 0 0 -368289 -407156 -507654 -255414 1.3152e+08
9 0 0 0 0 0 0 0 0 -366906 -404336 -502742 -252940 1.2154e+08
10 0 0 0 0 0 0 0 0 -367764 -406084 -505786 -254475 1.27407e+08
11 0 0 0 0 0 0 0 0 -1133.9 -1843.91 -2924.6 -1483.25 -5.32884e+06
12 0 0 0 0 0 0 0 0 -183.403 -298.662 -473.996 -240.251 -1.08912e+06
13 0 0 0 0 0 0 0 0 291.353 474.04 752.045 381.322 1.50556e+06
