# md_1200K_96atom.extxyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     1      96      -569.992      -570.019      0.000279953      23.0251      22.9227      0.0380208      
     2      96      -572.738      -572.739      1.49919e-05      25.0961      25.1402      0.0318369      
     3      96      -569.589      -569.583      6.93347e-05      22.5394      22.5387      0.0433342      
     4      96      -569.647      -569.663      0.000169052      23.5312      23.4716      0.0432192      
     5      96      -572.009      -572.036      0.000280061      21.5902      21.5482      0.0334239      
     6      96      -570.895      -570.944      0.000504671      21.6721      21.5659      0.0377169      
     7      96      -568.892      -568.865      0.000273022      20.7342      20.8228      0.0444221      
     8      96      -570.332      -570.341      9.58115e-05      23.3728      23.4127      0.0339494      
     9      96      -571.012      -571.061      0.000501648      21.5411      21.4932      0.0316499      
     10      96      -571.096      -571.159      0.000649296      20.9881      20.9205      0.0315784      
     11      96      -570.656      -570.713      0.00059918      21.2624      21.228      0.0351035      
     12      96      -570.114      -570.164      0.000518606      21.323      21.3227      0.0424642      
     13      96      -570.159      -570.173      0.000145542      23.2809      23.2697      0.0381873      
     14      96      -570.369      -570.38      0.000115768      22.6987      22.6558      0.0374787      
     15      96      -566.948      -566.899      0.00050938      19.1301      19.2021      0.0482675      
     16      96      -570.887      -570.871      0.000175502      22.1784      22.1673      0.0354379      
     17      96      -571.165      -571.126      0.000398769      21.9516      22.0114      0.0345384      
     18      96      -568.387      -568.396      9.09604e-05      22.8005      22.8866      0.0455969      
     19      96      -568.831      -568.859      0.00029188      21.5265      21.5298      0.0475168      
     20      96      -568.666      -568.721      0.000577766      22.0412      21.9534      0.0468693      
     21      96      -568.267      -568.345      0.000808405      22.8331      22.7119      0.0456542      
     22      96      -567.86      -567.958      0.001014      23.5841      23.4536      0.0444958      
     23      96      -568.044      -568.142      0.0010295      23.4754      23.3724      0.0413947      
     24      96      -569.456      -569.438      0.000180826      25.4946      25.5363      0.047551      
     25      96      -570.266      -570.271      5.00264e-05      24.0855      24.0791      0.0409418      
     26      96      -570.045      -570.049      4.05446e-05      27.563      27.58      0.0360478      
     27      96      -571.015      -571.016      6.68588e-06      22.2031      22.2064      0.033984      
     28      96      -570.871      -570.858      0.000140019      22.2285      22.2784      0.0352026      
