# n24.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     1      24      -49989.9      -49989.9      0.00261435      5.28835e-07      0.000671376      5.31212e-05      
     2      24      -49971.2      -49971.1      0.00279942      4.7921      4.63125      0.0125311      
     3      24      -49993.5      -49993.6      0.000949212      7.4445      7.41786      0.0107823      
     4      24      -49992.4      -49992.4      0.000296654      10.1906      10.255      0.0171638      
     5      24      -49993      -49993      0.000459736      8.85131      8.84138      0.0130478      
     6      24      -49971.1      -49971.2      0.00439662      3.29912      3.45564      0.0204017      
     7      24      -49982.2      -49982.2      0.0014488      2.83122e-07      0.000794035      5.12895e-05      
     8      24      -49993      -49993      0.00113907      9.12829      9.17018      0.0134922      
     9      24      -49993.4      -49993.4      0.00194249      8.36587      8.3747      0.0113407      
     10      24      -49971.9      -49971.9      0.0023288      4.20847e-07      0.00338219      0.000257016      
     11      24      -49880.2      -49880.2      0.00149274      51.7609      51.7794      0.00226011      
     12      24      -49992.9      -49992.9      0.000580887      9.31733      9.2876      0.0144411      
     13      24      -49987.5      -49987.5      0.00177952      9.88704e-08      0.0013571      0.000107731      
     14      24      -49945.6      -49945.7      0.00387691      2.87666e-06      0.000207891      1.62324e-05      
     15      24      -49993.5      -49993.5      0.000342245      7.40029      7.42717      0.0138157      
     16      24      -49993.3      -49993.3      0.000169078      7.87112      7.89468      0.0123544      
     17      24      -49992.7      -49992.7      0.0012425      10.0133      10.0441      0.0145339      
     18      24      -49964.7      -49964.8      0.00478398      8.95771      9.10379      0.0151271      
     19      24      -49993      -49993      0.00044364      8.98915      9.00408      0.011405      
     20      24      -49993.3      -49993.2      0.00194569      8.42687      8.43985      0.0111739      
     21      24      -49990      -49990      0.000217838      8.21555e-07      0.00130913      9.44582e-05      
     22      24      -49955.3      -49955.3      0.00158053      3.0325e-06      0.000425804      2.64912e-05      
     23      24      -49993.1      -49993      0.00243625      9.31917      9.36201      0.0147569      
     24      24      -49993.1      -49993.2      0.00188149      8.61624      8.62178      0.0112248      
     25      24      -49993.2      -49993.1      0.000630188      8.38758      8.36093      0.0128894      
     26      24      -49978.1      -49978      0.00275845      1.43439e-06      0.000317067      2.46956e-05      
     27      24      -49992.8      -49992.7      0.00149455      9.88239      9.93193      0.0155065      
     28      24      -49993.5      -49993.6      0.00192306      7.06113      7.07565      0.0110033      
     29      24      -49985.4      -49985.4      0.000172085      4.0425e-07      0.00141684      0.000101431      
     30      24      -49992.3      -49992.4      0.000861284      10.4972      10.5489      0.020849      
     31      24      -49992.8      -49992.8      0.000189723      9.43852      9.49161      0.0130824      
     32      24      -49993.2      -49993.2      0.000390037      8.33611      8.32581      0.013741      
     33      24      -49993.6      -49993.6      0.00176039      7.32405      7.31323      0.0123121      
     34      24      -49993.5      -49993.5      0.000302423      7.45058      7.46147      0.0119262      
     35      24      -49993.4      -49993.4      0.00105053      8.31606      8.31836      0.0118213      
     36      24      -49987.2      -49987.2      0.00104417      4.62421e-07      0.00197862      0.000146594      
     37      24      -49993.1      -49993.1      0.00197727      8.62125      8.59499      0.0129501      
     38      24      -49964.6      -49964.5      0.000658463      1.73148e-06      0.000606696      3.99421e-05      
     39      24      -49993.6      -49993.6      0.000929963      7.48472      7.48935      0.010337      
     40      24      -49993.4      -49993.4      0.00064946      7.85144      7.86036      0.0115805      
     41      24      -49993      -49993      0.000777453      9.09967      9.1131      0.0135072      
     42      24      -49987.3      -49987.3      2.69356e-05      8.68258e-07      0.00126124      7.52972e-05      
     43      24      -49993.2      -49993.2      0.000967668      8.48716      8.44851      0.01497      
     44      24      -49993      -49993.1      0.00112241      8.42195      8.43017      0.0126427      
     45      24      -49993.1      -49993.1      0.0008038      8.55739      8.56855      0.01513      
     46      24      -49993      -49993      0.00194951      9.34666      9.40715      0.0135487      
     47      24      -49990.4      -49990.4      9.70123e-05      0.804951      0.761578      0.00579443      
     48      24      -49993.1      -49993.1      0.000695957      8.90575      8.90397      0.0135222      
     49      24      -49993      -49992.9      0.00111767      9.4974      9.50779      0.012506      
     50      24      -49993.1      -49993.1      6.96056e-05      8.58125      8.57028      0.0120651      
     51      24      -49992.9      -49993      0.000649706      9.21673      9.21764      0.0128503      
     52      24      -49993.1      -49993.1      0.000622663      8.9015      8.89024      0.0142358      
     53      24      -49992.9      -49992.9      0.000281423      9.34544      9.35347      0.0126808      
     54      24      -49992.6      -49992.6      0.00078337      10.0741      10.0427      0.0175929      
     55      24      -49992.8      -49992.8      0.000120604      10.2794      10.2811      0.0138375      
     56      24      -49993.3      -49993.3      0.00143974      8.27127      8.23935      0.0131106      
     57      24      -49992.8      -49992.8      3.08206e-05      9.34936      9.37551      0.0156791      
     58      24      -49993.2      -49993.2      0.000550156      8.36823      8.36001      0.0136077      
     59      24      -49993.1      -49993.2      0.000685125      8.34606      8.32214      0.0135467      
     60      24      -49688.1      -49688.1      4.54843e-05      111.214      111.217      0.0017297      
     61      24      -49993.3      -49993.3      0.000563592      7.81786      7.83527      0.0126675      
     62      24      -49993.5      -49993.5      0.000410486      7.1459      7.14556      0.0119712      
