# Bulk.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     1      8      -38.6775      -38.7277      0.00627444      1.86715e-14      0      3.43675e-15      
# EOS.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     2      4      -19.3746      -19.3395      0.00879659      0.00114555      0.004696      0.000980955      
     3      4      -18.9939      -18.9922      0.00042363      0.213418      0.015096      0.0330758      
     4      4      -18.7536      -18.7598      0.00154968      0.208038      0.026416      0.0303008      
     5      4      -18.4812      -18.4941      0.00320868      0.176488      0.036914      0.0233136      
     6      4      -18.1844      -18.2022      0.00445194      0.135998      0.055734      0.0134038      
     7      4      -17.8684      -17.889      0.00513641      0.0818919      0.063452      0.00308785      
     8      4      -17.536      -17.5573      0.00532846      0.0354769      0.080334      0.00750793      
     9      4      -17.195      -17.2153      0.00509273      0.0101496      0.087346      0.0163093      
     10      4      -16.835      -16.8535      0.0046435      0.0286956      0.104282      0.0221983      
     11      4      -19.3267      -19.3066      0.00502416      0.111338      0.007376      0.0173561      
     12      4      -19.1902      -19.1801      0.002549      0.184994      0.009042      0.0293501      
     13      4      -17.8698      -17.8377      0.00802058      0.140132      0.00984      0.0217186      
     14      4      -19.3467      -19.3016      0.0112868      0.0513923      0.004756      0.00935873      
     15      4      -19.1778      -19.2078      0.00751214      0.51079      0.000514      0.0852267      
     16      4      -19.0863      -19.0262      0.0150141      0.14279      0.00049      0.0238951      
     17      4      -18.7403      -18.6839      0.0141125      0.178384      0.005468      0.0288271      
     18      8      -24.9121      -24.9073      0.000600644      1.33134e-14      0      1.65261e-15      
     19      8      -25.3371      -25.3311      0.000744369      1.51175e-14      0      2.54361e-15      
     20      8      -34.0657      -34.1135      0.00597589      2.32156e-15      0      3.75134e-16      
     21      8      -25.7526      -25.7457      0.000865343      5.1212e-14      0      8.26466e-15      
     22      8      -26.1588      -26.151      0.000974663      4.4693e-14      0      6.86188e-15      
     23      8      -26.5559      -26.5475      0.00105834      4.29778e-14      0      7.33101e-15      
     24      8      -26.9441      -26.9351      0.00111965      3.26238e-14      0      6.03958e-15      
     25      8      -27.3234      -27.3141      0.00116545      3.34766e-12      0      4.86287e-13      
     26      8      -27.694      -27.6845      0.00119742      1.08419e-14      0      1.60447e-15      
     27      8      -28.0561      -28.0464      0.00121342      6.89854e-15      0      1.16342e-15      
     28      8      -28.4099      -28.4002      0.00121537      6.33371e-15      0      1.08232e-15      
     29      8      -28.7554      -28.7457      0.00120679      5.91558e-14      0      9.84109e-15      
     30      8      -29.0928      -29.0833      0.0011882      5.84203e-14      0      9.35594e-15      
     31      8      -35.5471      -35.6042      0.00712687      1.75525e-15      0      2.96439e-16      
     32      8      -29.4222      -29.4129      0.00116036      4.65336e-14      0      6.55191e-15      
     33      8      -29.7439      -29.7348      0.00113108      4.29787e-14      0      6.07211e-15      
     34      8      -30.0578      -30.049      0.00109919      5.02818e-14      0      6.51519e-15      
     35      8      -30.3642      -30.3557      0.00106296      6.16154e-14      0      1.08161e-14      
     36      8      -30.6632      -30.655      0.00102536      5.1015e-14      0      8.50954e-15      
     37      8      -30.955      -30.947      0.000990674      2.62085e-14      0      4.28665e-15      
     38      8      -31.2395      -31.2319      0.000960727      4.63126e-15      0      7.67615e-16      
     39      8      -31.5171      -31.5096      0.000933499      3.29541e-14      0      6.22202e-15      
     40      8      -31.7877      -31.7804      0.000911111      3.95266e-14      0      6.35234e-15      
     41      8      -32.0516      -32.0445      0.000887242      2.67612e-14      0      3.88072e-15      
