# extended.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     1      54      -559.127      -558.983      0.00265916      24.6288      24.6664      0.133244      
     2      54      -559.467      -559.327      0.0026067      24.2596      24.4084      0.117315      
     3      54      -582.114      -582.127      0.000223419      10.5873      10.6124      0.0289812      
     4      54      -561.626      -561.48      0.00270605      23.9758      24.4283      0.140432      
     5      54      -582.877      -582.863      0.000257963      9.51376      9.50794      0.024208      
     6      54      -560.711      -560.416      0.00546009      26.5644      27.2437      0.132835      
     7      54      -581.771      -581.808      0.000685096      10.8404      10.8433      0.0309105      
     8      54      -561.836      -561.766      0.00128953      24.6621      24.8695      0.111411      
     9      54      -582.827      -582.853      0.000478588      9.00278      8.93814      0.0248678      
     10      54      -563.394      -563.481      0.00160708      24.6216      24.625      0.11364      
     11      54      -582.958      -582.943      0.000281122      8.73356      8.71728      0.0307381      
     12      54      -561.63      -561.253      0.00697919      24.4343      25.1372      0.137268      
     13      54      -582.132      -582.135      4.57946e-05      10.8751      10.9305      0.0268917      
     14      54      -559.258      -559.344      0.00158398      24.1998      24.3717      0.133121      
     15      54      -582.971      -582.974      4.91314e-05      8.96808      8.93551      0.0256503      
     16      54      -562.617      -562.421      0.00363889      25.071      25.6198      0.129327      
     17      54      -582.687      -582.684      4.78015e-05      9.06229      9.04117      0.0345865      
     18      54      -562.454      -562.529      0.00139214      23.9236      24.0173      0.135654      
     19      54      -581.578      -581.606      0.000523274      11.2356      11.2436      0.0318898      
     20      54      -562.363      -562.239      0.00228543      23.1996      23.4186      0.125949      
     21      54      -582.75      -582.753      5.52764e-05      9.3389      9.32079      0.0285334      
     22      54      -553.733      -554.269      0.00991787      24.2601      24.6014      0.153594      
     23      54      -582.286      -582.297      0.000217568      10.2125      10.3418      0.0295264      
     24      54      -562.475      -562.31      0.00306648      23.0589      23.2318      0.127434      
     25      54      -582.949      -582.971      0.000407433      9.10471      8.95499      0.0283324      
     26      54      -582.388      -582.396      0.000142668      9.97388      10.0441      0.0256589      
     27      54      -559.639      -559.671      0.000590229      24.6069      24.5944      0.127121      
     28      54      -583.124      -583.143      0.00034402      8.63119      8.53942      0.0281534      
     29      54      -562.466      -562.48      0.000249596      24.8207      24.7409      0.115157      
     30      54      -582.996      -583.001      8.59431e-05      8.73929      8.71974      0.0218808      
     31      54      -560.59      -560.745      0.00287231      24.1601      24.2209      0.140989      
     32      54      -582.501      -582.502      1.68529e-05      9.55641      9.55476      0.0299681      
