# Displaced_A15.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
   1    64    -754.397    -754.22    0.00275886    7.91884    8.39867    0.126729    
   2    64    -753.922    -753.865    0.000888863    9.1946    9.13443    0.134971    
   3    64    -754.273    -754.022    0.00392371    8.59413    9.01726    0.116795    
   4    64    -754.468    -754.28    0.00293734    7.94693    8.38173    0.110031    
   5    64    -753.865    -753.777    0.00136698    9.42412    9.47831    0.12771    
   6    64    -754.24    -754.049    0.0029872    7.9894    8.46532    0.114764    
   7    64    -754.434    -754.318    0.00181975    8.10372    8.12769    0.0959524    
   8    64    -754.071    -753.969    0.00159542    9.5794    9.42546    0.117308    
   9    64    -754.301    -754.142    0.0024843    8.5318    8.82135    0.124675    
# Displaced_BCC.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
   10    54    -630.833    -631.02    0.00346484    16.6423    16.6259    0.141577    
   11    54    -631.634    -631.72    0.00159313    15.3889    15.5867    0.126751    
   12    54    -631.359    -631.386    0.000499818    15.5665    15.9238    0.142737    
   13    54    -632.542    -632.576    0.000623228    14.1766    14.5598    0.131264    
   14    54    -630.474    -630.45    0.000438823    16.9753    16.9634    0.154955    
   15    54    -631.675    -631.669    0.000102118    15.787    16.0576    0.145569    
   16    54    -632.252    -632.431    0.00332098    14.6078    14.6981    0.148204    
   17    54    -630.858    -630.96    0.00189116    15.7987    15.9907    0.144647    
   18    54    -623.441    -623.378    0.00116669    24.808    24.6764    0.189572    
# Displaced_FCC.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
   19    48    -556.035    -555.899    0.00281697    5.26209    6.08462    0.0794211    
   20    48    -556.033    -555.922    0.00230213    5.48006    6.29707    0.0856255    
   21    48    -555.857    -555.8    0.00118226    5.53306    6.0211    0.0852168    
   22    48    -556.235    -556.196    0.000812055    4.72612    5.12796    0.0686496    
   23    48    -555.598    -555.489    0.00226247    6.36049    7.05022    0.0982766    
   24    48    -556.073    -556.028    0.000931813    5.17388    5.61188    0.0776878    
   25    48    -556.072    -555.968    0.00215542    5.23049    5.97922    0.0895625    
   26    48    -556.121    -556.047    0.00153643    4.90013    5.54445    0.0854713    
   27    48    -555.841    -555.748    0.00194628    5.93537    6.47893    0.0832121    
# Elastic_BCC.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
   28    2    -23.6861    -23.6894    0.00163926    0.000546447    0.000622275    2.03675e-05    
   29    2    -23.6872    -23.6899    0.00133642    0.000544946    0.000616605    1.86349e-05    
   30    2    -23.6872    -23.69    0.00140359    0.000775343    0.000881043    3.70066e-05    
   31    2    -23.6893    -23.691    0.000827973    8.87951e-07    0    3.56394e-07    
   32    2    -23.6898    -23.6905    0.000356347    0.000537624    0.000598227    1.57815e-05    
   33    2    -23.6901    -23.6904    0.000127185    0.000536475    0.000592572    1.44778e-05    
   34    2    -23.6856    -23.6892    0.00180213    0.000546413    0.000627936    2.12481e-05    
   35    2    -23.6882    -23.6905    0.00112145    0.000762698    0.000864014    3.50614e-05    
   36    2    -23.6871    -23.6899    0.00141516    0.000547057    0.000615215    1.80705e-05    
   37    2    -23.6892    -23.6906    0.000694311    0.000540359    0.000603873    1.54533e-05    
   38    2    -23.6871    -23.6902    0.00153472    0.000939662    0.0010737    5.47218e-05    
   39    2    -23.6856    -23.6893    0.00185196    0.000775445    0.000890013    3.8673e-05    
   40    2    -23.6867    -23.6898    0.00154059    0.00094828    0.00108025    5.38937e-05    
   41    2    -23.6873    -23.6897    0.00120365    0.00077002    0.000868003    3.27619e-05    
   42    2    -23.6879    -23.6901    0.00111092    0.00119413    0.00137382    6.093e-05    
   43    2    -23.684    -23.6881    0.00204382    0.000549094    0.000633613    2.2313e-05    
   44    2    -23.6854    -23.6892    0.00191515    0.000778513    0.00088801    3.66248e-05    
   45    2    -23.6864    -23.6895    0.00158396    0.000781048    0.000886001    3.50284e-05    
   46    2    -23.6813    -23.6863    0.0024917    0.000556118    0.000640678    2.25083e-05    
   47    2    -23.6905    -23.6901    0.000212773    0.000759087    0.000841016    2.74129e-05    
   48    2    -23.6905    -23.6908    0.000142634    0.00075597    0.000850007    3.2547e-05    
   49    2    -23.6891    -23.6903    0.000585734    0.000915611    0.00104432    5.26156e-05    
   50    2    -23.6886    -23.6906    0.0010192    0.000909253    0.00105083    5.77997e-05    
   51    2    -23.6896    -23.6907    0.000535773    0.000538074    0.000603891    1.75208e-05    
   52    2    -23.6885    -23.6906    0.00101394    0.000746012    0.000859006    3.79367e-05    
   53    2    -23.6887    -23.6907    0.000985165    0.000748121    0.000859011    3.78873e-05    
   54    2    -23.6886    -23.6902    0.000824165    0.000769976    0.000873005    3.50098e-05    
   55    2    -23.6853    -23.6889    0.00182288    0.000760454    0.000880031    4.15812e-05    
   56    2    -23.6897    -23.6901    0.000200215    0.00053867    0.000593997    1.44881e-05    
   57    2    -23.683    -23.6874    0.00221818    0.000789661    0.000903059    4.00624e-05    
   58    2    -23.6866    -23.6898    0.00160457    0.000761764    0.000874001    3.77508e-05    
   59    2    -23.6887    -23.6904    0.000863186    7.28544e-07    0    2.71646e-07    
   60    2    -23.6888    -23.6904    0.000762636    0.000541556    0.00060675    1.82097e-05    
   61    2    -23.6912    -23.6889    0.00114767    0.000743119    0.000825005    2.84426e-05    
   62    2    -23.6897    -23.6905    0.000387489    0.00132297    0.00147578    6.06808e-05    
   63    2    -23.6906    -23.6906    2.00639e-06    0.000527361    0.00059966    1.89584e-05    
   64    2    -23.6862    -23.6895    0.00166397    0.000547703    0.000619438    1.86143e-05    
   65    2    -23.6869    -23.6899    0.00147744    0.0007821    0.000886012    3.54245e-05    
   66    2    -23.6859    -23.6893    0.00168822    0.00123702    0.00139648    5.08176e-05    
   67    2    -23.6908    -23.6905    0.000160751    0.000529394    0.000593983    1.71672e-05    
   68    2    -23.691    -23.6898    0.000584608    0.000734915    0.000834059    3.61454e-05    
   69    2    -23.6911    -23.69    0.000527977    0.00052809    0.000589769    1.74424e-05    
   70    2    -23.6905    -23.6906    3.42846e-05    0.000532785    0.000593978    1.5907e-05    
   71    2    -23.688    -23.6902    0.0011076    0.00097135    0.00108432    4.61209e-05    
   72    2    -23.6902    -23.6906    0.000212458    0.000528771    0.000602468    1.86372e-05    
   73    2    -23.6871    -23.6898    0.00131469    0.000776724    0.000879069    3.60977e-05    
   74    2    -23.6907    -23.6903    0.000225177    6.25099e-07    0    1.86978e-07    
   75    2    -23.6885    -23.6906    0.00104249    0.000536732    0.000613775    1.88771e-05    
   76    2    -23.6897    -23.6906    0.000461612    8.07915e-07    0    3.29679e-07    
