# Displaced_A15.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     1      64      -754.209      -754.22      0.000178772      8.37002      8.39867      0.0243093      
     2      64      -753.855      -753.865      0.00016566      9.18225      9.13443      0.0270816      
     3      64      -754.048      -754.022      0.000400862      8.92895      9.01726      0.0258364      
     4      64      -754.268      -754.28      0.000179036      8.39268      8.38173      0.0284602      
     5      64      -753.791      -753.777      0.000207867      9.47409      9.47831      0.0289233      
     6      64      -754.031      -754.049      0.000283253      8.51825      8.46532      0.0275745      
     7      64      -754.323      -754.318      8.55995e-05      8.08216      8.12769      0.0251684      
     8      64      -753.984      -753.969      0.000234542      9.40434      9.42546      0.0253534      
     9      64      -754.134      -754.142      0.000130156      8.80569      8.82135      0.0257311      
# Displaced_BCC.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     10      54      -631.057      -631.02      0.000690118      16.4838      16.6259      0.0498613      
     11      54      -631.713      -631.72      0.000120556      15.5704      15.5867      0.0508721      
     12      54      -631.388      -631.386      2.87693e-05      15.8905      15.9238      0.047823      
     13      54      -632.563      -632.576      0.000239271      14.5875      14.5598      0.0468944      
     14      54      -630.453      -630.45      4.25099e-05      17.0052      16.9634      0.0514479      
     15      54      -631.662      -631.669      0.000130963      16.0609      16.0576      0.0566437      
     16      54      -632.441      -632.431      0.00017251      14.6699      14.6981      0.0502813      
     17      54      -630.949      -630.96      0.000196447      15.9615      15.9907      0.0535067      
     18      54      -623.365      -623.378      0.000243747      24.6155      24.6764      0.0718731      
# Displaced_FCC.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     19      48      -555.911      -555.899      0.000248903      6.06869      6.08462      0.0171624      
     20      48      -555.911      -555.922      0.000235698      6.26882      6.29707      0.0180999      
     21      48      -555.801      -555.8      7.19907e-06      6.0103      6.0211      0.0183306      
     22      48      -556.209      -556.196      0.000265864      5.09332      5.12796      0.0155981      
     23      48      -555.489      -555.489      2.27939e-06      7.02711      7.05022      0.0203981      
     24      48      -556.027      -556.028      1.48641e-05      5.61651      5.61188      0.0171361      
     25      48      -555.977      -555.968      0.000169441      5.967      5.97922      0.0148884      
     26      48      -556.034      -556.047      0.000274169      5.58948      5.54445      0.0176411      
     27      48      -555.74      -555.748      0.000172176      6.482      6.47893      0.0199201      
# Elastic_BCC.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     28      2      -23.6899      -23.6894      0.000251174      0.00242003      0.000622275      0.000426951      
     29      2      -23.6901      -23.6899      9.56137e-05      0.00241245      0.000616605      0.000425468      
     30      2      -23.6904      -23.69      0.000182234      0.00344074      0.000881043      0.000855122      
     31      2      -23.6912      -23.691      0.000101383      3.98267e-06      0      1.58759e-06      
     32      2      -23.6903      -23.6905      0.000117877      0.00237457      0.000598227      0.000421042      
     33      2      -23.6903      -23.6904      6.25698e-05      0.00236574      0.000592572      0.00041992      
     34      2      -23.6898      -23.6892      0.000314268      0.00243168      0.000627936      0.000427909      
     35      2      -23.6908      -23.6905      0.000180832      0.00340167      0.000864014      0.000847486      
     36      2      -23.6903      -23.6899      0.000179998      0.00239643      0.000615215      0.000422125      
     37      2      -23.6905      -23.6906      4.96188e-05      0.00238349      0.000603873      0.000419889      
     38      2      -23.6908      -23.6902      0.000313149      0.00419222      0.0010737      0.00127313      
     39      2      -23.6902      -23.6893      0.000453625      0.00345585      0.000890013      0.000855526      
     40      2      -23.6902      -23.6898      0.000231046      0.00420141      0.00108025      0.00127417      
     41      2      -23.6897      -23.6897      1.27248e-05      0.00339495      0.000868003      0.00084241      
     42      2      -23.69      -23.6901      4.55386e-05      0.00540293      0.00137382      0.00127651      
     43      2      -23.6888      -23.6881      0.00035664      0.00244699      0.000633613      0.000430701      
     44      2      -23.6902      -23.6892      0.000481235      0.00344119      0.00088801      0.000851192      
     45      2      -23.6899      -23.6895      0.000173832      0.00343611      0.000886001      0.000850346      
     46      2      -23.6876      -23.6863      0.000637437      0.00244465      0.000640678      0.000427482      
     47      2      -23.69      -23.6901      7.11012e-05      0.00338399      0.000841016      0.000847747      
     48      2      -23.6908      -23.6908      2.80975e-05      0.00339906      0.000850007      0.000851272      
     49      2      -23.6901      -23.6903      6.81837e-05      0.00415369      0.00104432      0.00126933      
     50      2      -23.6907      -23.6906      5.71275e-05      0.00415303      0.00105083      0.00126646      
     51      2      -23.6904      -23.6907      0.000143564      0.00239311      0.000603891      0.000424853      
     52      2      -23.6906      -23.6906      4.88111e-05      0.00339773      0.000859006      0.000846244      
     53      2      -23.6908      -23.6907      4.92484e-05      0.0033974      0.000859011      0.000847102      
     54      2      -23.6901      -23.6902      5.5481e-05      0.00344907      0.000873005      0.00085937      
