# Displaced_A15.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     1      64      -754.211      -754.22      0.000151283      8.41297      8.39867      0.0244525      
     2      64      -753.852      -753.865      0.000214147      9.15875      9.13443      0.0270221      
     3      64      -754.045      -754.022      0.000353326      8.99692      9.01726      0.0245746      
     4      64      -754.273      -754.28      0.000109418      8.35332      8.38173      0.0298263      
     5      64      -753.793      -753.777      0.000249816      9.47992      9.47831      0.0288577      
     6      64      -754.037      -754.049      0.000184815      8.47839      8.46532      0.0273614      
     7      64      -754.32      -754.318      3.2902e-05      8.07573      8.12769      0.0244955      
     8      64      -753.978      -753.969      0.00013757      9.40995      9.42546      0.026367      
     9      64      -754.135      -754.142      0.000112451      8.78473      8.82135      0.0265073      
# Displaced_BCC.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     10      54      -631.067      -631.02      0.000882419      16.4664      16.6259      0.0540607      
     11      54      -631.7      -631.72      0.000371993      15.5636      15.5867      0.0506197      
     12      54      -631.392      -631.386      0.000111454      15.9019      15.9238      0.0510032      
     13      54      -632.566      -632.576      0.000174535      14.6089      14.5598      0.0468936      
     14      54      -630.449      -630.45      1.63156e-05      16.9691      16.9634      0.0537862      
     15      54      -631.663      -631.669      0.00011744      16.0619      16.0576      0.05686      
     16      54      -632.453      -632.431      0.000393909      14.6447      14.6981      0.0516503      
     17      54      -630.939      -630.96      0.00039626      15.9657      15.9907      0.0531651      
     18      54      -623.361      -623.378      0.00032156      24.6058      24.6764      0.0770347      
# Displaced_FCC.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     19      48      -555.911      -555.899      0.000232121      6.07728      6.08462      0.0178127      
     20      48      -555.914      -555.922      0.000170712      6.27724      6.29707      0.0182076      
     21      48      -555.802      -555.8      2.89502e-05      6.00889      6.0211      0.0187746      
     22      48      -556.207      -556.196      0.000234668      5.1143      5.12796      0.0162605      
     23      48      -555.488      -555.489      2.8484e-05      7.04693      7.05022      0.0192703      
     24      48      -556.026      -556.028      4.51412e-05      5.57549      5.61188      0.0184453      
     25      48      -555.972      -555.968      8.40033e-05      5.97956      5.97922      0.0161947      
     26      48      -556.039      -556.047      0.000177489      5.5946      5.54445      0.0179839      
     27      48      -555.74      -555.748      0.000160521      6.46016      6.47893      0.0187257      
# Elastic_BCC.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     28      2      -23.6898      -23.6894      0.000205691      0.00155716      0.000622275      0.000221848      
     29      2      -23.69      -23.6899      6.43456e-05      0.00156383      0.000616605      0.000224327      
     30      2      -23.6903      -23.69      0.000163505      0.00217762      0.000881043      0.000434227      
     31      2      -23.6912      -23.691      0.000135634      2.55564e-06      0      1.01532e-06      
     32      2      -23.6902      -23.6905      0.000149845      0.00158064      0.000598227      0.000232542      
     33      2      -23.6902      -23.6904      0.000107964      0.00158917      0.000592572      0.000236103      
     34      2      -23.6899      -23.6892      0.000347604      0.00154581      0.000627936      0.000218285      
     35      2      -23.6908      -23.6905      0.00014623      0.00220484      0.000864014      0.00044745      
     36      2      -23.6902      -23.6899      0.000129599      0.00158069      0.000615215      0.0002299      
     37      2      -23.6905      -23.6906      5.4779e-05      0.00157905      0.000603873      0.000230999      
     38      2      -23.691      -23.6902      0.000372098      0.00268332      0.0010737      0.000657124      
     39      2      -23.6901      -23.6893      0.000432111      0.00217403      0.000890013      0.000428946      
     40      2      -23.6902      -23.6898      0.000229189      0.00268283      0.00108025      0.000654184      
     41      2      -23.6895      -23.6897      6.89444e-05      0.00222505      0.000868003      0.000452775      
     42      2      -23.6899      -23.6901      9.45084e-05      0.0034476      0.00137382      0.000664145      
     43      2      -23.6888      -23.6881      0.000368563      0.00153866      0.000633613      0.00021559      
     44      2      -23.6903      -23.6892      0.000509153      0.00219415      0.00088801      0.000435921      
     45      2      -23.6899      -23.6895      0.000175007      0.00219858      0.000886001      0.000438232      
     46      2      -23.6877      -23.6863      0.000693599      0.00155595      0.000640678      0.000218941      
     47      2      -23.6899      -23.6901      0.000102311      0.00219862      0.000841016      0.000452741      
     48      2      -23.6908      -23.6908      1.09361e-05      0.0021774      0.000850007      0.000443099      
     49      2      -23.6899      -23.6903      0.000175769      0.00267789      0.00104432      0.000666608      
     50      2      -23.6907      -23.6906      7.49374e-05      0.00268093      0.00105083      0.000665477      
     51      2      -23.6904      -23.6907      0.000135597      0.00156442      0.000603891      0.000227529      
     52      2      -23.6907      -23.6906      4.96468e-05      0.00218866      0.000859006      0.00044377      
     53      2      -23.6908      -23.6907      7.69875e-05      0.00218715      0.000859011      0.000443884      
     54      2      -23.6899      -23.6902      0.000170471      0.00215395      0.000873005      0.000427775      
     55      2      -23.6895      -23.6889      0.000298509      0.00219437      0.000880031      0.000440199      
     56      2      -23.6896      -23.6901      0.000289396      0.00159546      0.000593997      0.000237703      
     57      2      -23.6884      -23.6874      0.000483807      0.002195      0.000903059      0.000433544      
     58      2      -23.6904      -23.6898      0.000291229      0.00220614      0.000874001      0.000444156      
     59      2      -23.6902      -23.6904      0.000106059      2.11151e-06      0      7.88855e-07      
     60      2      -23.69      -23.6904      0.000200232      0.00157334      0.00060675      0.000231636      
     61      2      -23.6888      -23.6889      4.72372e-05      0.00218254      0.000825005      0.000453017      
     62      2      -23.6903      -23.6905      0.000123325      0.00382687      0.00147578      0.00089416      
     63      2      -23.6903      -23.6906      0.000105263      0.00152022      0.00059966      0.000218843      
     64      2      -23.69      -23.6895      0.000268404      0.0015723      0.000619438      0.000225429      
     65      2      -23.6902      -23.6899      0.000186238      0.00217745      0.000886012      0.000432058      
     66      2      -23.6898      -23.6893      0.000237765      0.00351581      0.00139648      0.000667272      
     67      2      -23.6903      -23.6905      5.96396e-05      0.00155135      0.000593983      0.000227094      
     68      2      -23.6893      -23.6898      0.000260257      0.00216137      0.000834059      0.000444698      
     69      2      -23.6896      -23.69      0.00019285      0.00155523      0.000589769      0.000230029      
     70      2      -23.6904      -23.6906      6.11061e-05      0.00156786      0.000593978      0.000230851      
     71      2      -23.6901      -23.6902      5.85268e-05      0.00267791      0.00108432      0.000650577      
     72      2      -23.6904      -23.6906      0.000113797      0.00152215      0.000602468      0.000218422      
     73      2      -23.6898      -23.6898      2.5869e-05      0.00218098      0.000879069      0.000436467      
     74      2      -23.69      -23.6903      0.000124144      1.8201e-06      0      5.36073e-07      
     75      2      -23.6909      -23.6906      0.000125818      0.00153278      0.000613775      0.0002181      
     76      2      -23.6903      -23.6906      0.000144202      2.38106e-06      0      9.71812e-07      
     77      2      -23.6906      -23.6906      1.99557e-05      0.00216763      0.000859033      0.000437948      
     78      2      -23.6892      -23.6879      0.000626919      0.00220679      0.000901011      0.000436667      
     79      2      -23.6907      -23.6907      1.8298e-05      0.00221258      0.000847006      0.000455162      
     80      2      -23.69      -23.69      2.33356e-05      0.00154887      0.000619447      0.000220662      
     81      2      -23.6897      -23.6896      4.80197e-05      0.00221243      0.000874073      0.00044868      
     82      2      -23.6907      -23.6907      2.10187e-05      0.00154633      0.000612376      0.000222046      
     83      2      -23.69      -23.6902      0.000101362      0.00216385      0.000875005      0.000429873      
     84      2      -23.6888      -23.6879      0.000478748      0.00268659      0.00111207      0.000642765      
     85      2      -23.6902      -23.6901      5.04874e-05      0.00217144      0.000868018      0.000436282      
     86      2      -23.691      -23.6908      6.70267e-05      0.00152385      0.000608113      0.000217008      
     87      2      -23.6905      -23.6906      6.12809e-05      0.00301462      0.00121767      0.000426464      
     88      2      -23.6904      -23.6907      0.000120608      0.0015259      0.000602477      0.000220105      
     89      2      -23.6897      -23.6903      0.000278757      0.00267666      0.0010435      0.000666527      
     90      2      -23.6904      -23.6907      0.000165231      0.00155594      0.000601074      0.0002275      
     91      2      -23.69      -23.6901      3.22004e-05      0.00221279      0.000873023      0.000448297      
     92      2      -23.6895      -23.6884      0.000535035      0.00155206      0.00063218      0.000219103      
     93      2      -23.6895      -23.6887      0.000390648      0.00268815      0.00109247      0.000651331      
     94      2      -23.6904      -23.6905      7.88751e-05      0.00216919      0.000861015      0.000436185      
     95      2      -23.6897      -23.6897      1.6532e-07      0.0015138      0.000625129      0.0002117      
     96      2      -23.6902      -23.6906      0.000174613      1.86774e-06      0      5.87176e-07      
