#  Timestep    No_Moles    No_Specs          H2           H         HO2          O2           O
        100        2989           5        1982          24          12         965           6
#  Timestep    No_Moles    No_Specs          H2           H         HO2          O2           O
        200        2988           5        1983          22          12         965           6
#  Timestep    No_Moles    No_Specs          H2           H         HO2          O2           O
        300        2989           5        1982          24          12         965           6
#  Timestep    No_Moles    No_Specs          H2           H         HO2          O2           O
        400        2987           5        1982          22          14         963           6
#  Timestep    No_Moles    No_Specs          H2           H         HO2          O2           O          O4
        500        2988           6        1982          24          12         963           6           1
#  Timestep    No_Moles    No_Specs          H2           H         HO2          O2           O
        600        2989           5        1982          24          12         965           6
#  Timestep    No_Moles    No_Specs          H2           H         HO2          O2           O
        700        2989           5        1982          24          12         965           6
#  Timestep    No_Moles    No_Specs          H2         HO2           H          O2           O
        800        2991           5        1982          10          26         967           6
#  Timestep    No_Moles    No_Specs          H2           H         HO2         H2O          O2           O
        900        2990           6        1981          26          10           1         967           5
#  Timestep    No_Moles    No_Specs          H2           H         HO2         H2O          O2           O
       1000        2989           6        1981          25          11           1         966           5
#  Timestep    No_Moles    No_Specs          H2           H         HO2         H2O          O2           O
       1100        2990           6        1981          26          10           1         967           5
#  Timestep    No_Moles    No_Specs          H2           H         HO2         H2O          O2           O
       1200        2990           6        1980          27          11           1         966           5
#  Timestep    No_Moles    No_Specs          H2           H         HO2         H2O          O2           O
       1300        2989           6        1981          25          11           1         966           5
#  Timestep    No_Moles    No_Specs          H2           H         HO2         H2O          O2           O
       1400        2990           6        1981          26          10           1         967           5
#  Timestep    No_Moles    No_Specs          H2           H         HO2         H2O          O2           O
       1500        2990           6        1981          26          10           1         967           5
#  Timestep    No_Moles    No_Specs          H2           H         HO2         H2O          O2           O
       1600        2991           6        1981          27           9           1         968           5
#  Timestep    No_Moles    No_Specs          H2           H         HO2         H2O          O2           O
       1700        2991           6        1981          27           9           1         968           5
#  Timestep    No_Moles    No_Specs          H2           H         HO2         H2O          O2           O
       1800        2991           6        1981          27           9           1         968           5
#  Timestep    No_Moles    No_Specs          H2           H         HO2         H2O          O2           O
       1900        2991           6        1981          27           9           1         968           5
#  Timestep    No_Moles    No_Specs          H2           H         HO2         H2O          O2           O
       2000        2991           6        1981          27           9           1         968           5
#  Timestep    No_Moles    No_Specs          H2           H         HO2         H2O          O2           O
       2100        2991           6        1981          27           9           1         968           5
#  Timestep    No_Moles    No_Specs          H2           H         HO2         H2O          O2           O
       2200        2992           6        1980          29           9           1         968           5
#  Timestep    No_Moles    No_Specs          H2           H         HO2         H2O          O2           O
       2300        2991           6        1981          26          10           1         966           7
#  Timestep    No_Moles    No_Specs          H2           H         HO2         H2O          O2           O
       2400        2991           6        1981          26          10           1         966           7
#  Timestep    No_Moles    No_Specs          H2           H         HO2         H2O          O2           O
       2500        2991           6        1981          26          10           1         966           7
#  Timestep    No_Moles    No_Specs          H2           H         HO2         H2O          O2           O
       2600        2992           6        1981          27           9           1         967           7
#  Timestep    No_Moles    No_Specs          H2           H         HO2         H2O          O2           O
       2700        2993           6        1980          29           9           1         967           7
#  Timestep    No_Moles    No_Specs          H2           H         HO2         H2O          O2           O
       2800        2993           6        1981          28           8           1         968           7
#  Timestep    No_Moles    No_Specs          H2           H         HO2         H2O          O2           O
       2900        2993           6        1981          28           8           1         968           7
#  Timestep    No_Moles    No_Specs          H2           H         HO2         H2O          O2           O
       3000        2992           6        1981          27           9           1         967           7
#  Timestep    No_Moles    No_Specs          H2           H         HO2          HO          O2           O
       3100        2993           6        1981          28           9           1         967           7
#  Timestep    No_Moles    No_Specs          H2           H         HO2          HO          O2           O
       3200        2994           6        1981          29           8           1         968           7
#  Timestep    No_Moles    No_Specs          H2           H         HO2          HO          O2           O
       3300        2994           6        1981          29           8           1         968           7
#  Timestep    No_Moles    No_Specs          H2           H         HO2          HO          O2           O
       3400        2994           6        1981          29           8           1         968           7
#  Timestep    No_Moles    No_Specs          H2           H         HO2          HO          O2           O
       3500        2993           6        1981          28           9           1         967           7
#  Timestep    No_Moles    No_Specs          H2           H         HO2          HO          O2           O
       3600        2994           6        1981          29           8           1         968           7
