# Time-averaged data for fix ave_stress_vcm
# TimeStep Number-of-rows
# Row c_ch_stress_vcm
600 20
1 0
2 -142.965
3 2142.79
4 12968.3
5 -336.7
6 2638.09
7 4214.83
8 3187.61
9 -488.891
10 -49.3553
11 151.373
12 -317.663
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
700 20
1 0
2 -14.3195
3 -1238.9
4 30664.3
5 18805.2
6 498.562
7 930.874
8 660.655
9 -266.903
10 -317.877
11 -386.989
12 -304.697
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
800 20
1 0
2 0
3 -1656.7
4 30424.3
5 37003.5
6 15562.5
7 -2441.9
8 -1766.09
9 272.718
10 -664.774
11 -72.6933
12 -469.765
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
900 20
1 0
2 0
3 -1567.21
4 24987.6
5 38068.9
6 31595
7 8864.94
8 -3423.99
9 -753.063
10 125.21
11 -50.4895
12 -172.14
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
1000 20
1 0
2 0
3 -893.168
4 15591.6
5 32690.6
6 30183
7 27172
8 9459.75
9 -1416.35
10 -432.731
11 444.323
12 -424.357
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
1100 20
1 0
2 0
3 -601.805
4 8890.79
5 23345.1
6 28529.2
7 29111.9
8 25846.2
9 7451.83
10 -1624.2
11 320.704
12 -50.9865
13 -5.50481
14 0
15 0
16 0
17 0
18 0
19 0
20 0
1200 20
1 0
2 0
3 1435.39
4 8818.29
5 7129.61
6 20281.7
7 28026.1
8 28327.7
9 26918.6
10 8277.12
11 -249.644
12 -171.806
13 -7.19065
14 0
15 0
16 0
17 0
18 0
19 0
20 0
1300 20
1 0
2 0
3 -718.118
4 3021.9
5 9010.51
6 9500.87
7 19432.8
8 27254.3
9 28638.5
10 25568.5
11 8094.66
12 -368.293
13 -2.20997
14 0
15 0
16 0
17 0
18 0
19 0
20 0
1400 20
1 0
2 0
3 -650.581
4 190.19
5 5465.38
6 7489.23
7 7575.16
8 18433.5
9 26975.3
10 28981.5
11 26987.9
12 7502.07
13 0.117312
14 0
15 0
16 0
17 0
18 0
19 0
20 0
1500 20
1 0
2 0
3 -619.311
4 561.257
5 461.5
6 4105.68
7 9272.68
8 10445.6
9 18826.1
10 25434.8
11 25653.8
12 10981.2
13 33.682
14 0
15 0
16 0
17 0
18 0
19 0
20 0
1600 20
1 0
2 0
3 -349.345
4 513.579
5 -471.384
6 1257.81
7 7122.9
8 8659.35
9 8452.08
10 16013.5
11 17091
12 5476.24
13 -136.183
14 0
15 0
16 0
17 0
18 0
19 0
20 0
1700 20
1 0
2 0
3 -273.839
4 -907.407
5 -272.136
6 594.363
7 3302.77
8 5564.07
9 8689.92
10 6446.06
11 1779.37
12 338.998
13 -171.408
14 -1.21548
15 0
16 0
17 0
18 0
19 0
20 0
1800 20
1 0
2 0
3 -164.819
4 383.877
5 -140.681
6 -10.0153
7 907.937
8 3269.05
9 5325.22
10 395.73
11 -4103.73
12 -2787.16
13 -1357.04
14 -35.2044
15 0
16 0
17 0
18 0
19 0
20 0
1900 20
1 0
2 0
3 -80.813
4 334.225
5 248.55
6 82.0566
7 207.763
8 185.714
9 -55.8635
10 -2758.51
11 -4619.33
12 -5521.92
13 -2346.36
14 -415.324
15 0
16 0
17 0
18 0
19 0
20 0
2000 20
1 0
2 0
3 -83.1832
4 264.023
5 596.087
6 40.8157
7 -267.093
8 -2288.15
9 -3387.64
10 -5566.79
11 -5640.76
12 -4925.74
13 -3096.01
14 -757.817
15 -1.13042
16 0
17 0
18 0
19 0
20 0
2100 20
1 0
2 0
3 -17.4378
4 62.1251
5 740.988
6 357.467
7 -1137.61
8 -4266.83
9 -4962.9
10 -5322.45
11 -5437.58
12 -4846.56
13 -3651.28
14 -1151.01
15 -28.3074
16 0
17 0
18 0
19 0
20 0
2200 20
1 0
2 0
3 -10.8779
4 -56.7926
5 400.261
6 -568.63
7 -2193.36
8 -3856.71
9 -6603
10 -5717.11
11 -4868.64
12 -4173.5
13 -3402.64
14 -1712.44
15 -80.6771
16 -0.123189
17 0
18 0
19 0
20 0
2300 20
1 0
2 0
3 -22.8402
4 -44.5496
5 -365.476
6 -1285.6
7 -2887.76
8 -4022.77
9 -6280.86
10 -6055.26
11 -4921.51
12 -4445.37
13 -3531.69
14 -1360.49
15 -258.99
16 0.196931
17 0
18 0
19 0
20 0
2400 20
1 0
2 0
3 -0.594396
4 -148.921
5 -1118.18
6 -2071.85
7 -3989.41
8 -4567.01
9 -4939.36
10 -5170.94
11 -4922.25
12 -4587.5
13 -3748.19
14 -1785.46
15 -460.491
16 2.54038
17 0
18 0
19 0
20 0
2500 20
1 0
2 0
3 5.64755
4 -485.854
5 -2525.68
6 -2642.35
7 -5066.15
8 -4546.03
9 -4429.45
10 -4579.15
11 -4829.56
12 -4384.77
13 -3525.99
14 -1708.9
15 -627.176
16 -23.5581
17 0
18 0
19 0
20 0
