	F0	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20	F21	F22	F23	F24	F25	F26	F27	F28	F29	F30	F31	F32	F33	F34	F35	F36	F37	F38	F39	F40	F41	F42	F43	F44	F45	F46	F47	F48	F49	F50	F51	F52	F53	F54	F55	F56	F57	F58	F59	F60	F61	F62	F63	F64	F65	F66	F67	F68	F69	F70	F71	F72	F73	F74	F75	F76	F77	F78	F79	F80	F81	F82	F83	F84	F85	F86	F87	F88	F89	F90	F91	F92	F93	F94	F95	F96	F97	F98	F99	F100
65	1.602500	1.847210	2.428450	2.854700	3.179100	4.544920	3.661700	3.154620	2.767460	3.478820	2.366160	3.155160	2.230730	2.352020	2.044080	2.049760	1.806560	1.864640	1.789170	1.712870	1.654070	1.661440	1.758570	1.867170	1.860790	2.005540	2.021950	2.223020	2.178060	2.676830	2.248710	1.893170	2.081190	1.902970	2.179950	2.205320	2.469800	3.079270	3.011320	3.192580	3.611520	3.535790	3.074110	2.845820	2.665760	2.622560	2.980290	3.278100	2.903910	2.963080	2.382150	2.458860	2.452530	2.353320	2.110870	1.764400	1.967500	1.750280	2.169140	2.531120	2.306520	2.463120	2.288620	2.304630	2.279590	2.696530	2.632870	2.908160	2.979250	2.721520	2.962370	2.850910	2.521280	2.819900	2.871190	2.765470	2.931630	2.822900	3.129440	2.460740	2.145160	2.092230	2.201780	2.231810	2.368860	2.226440	1.989590	1.670860	1.605980	1.639810	1.776830	2.192250	2.005160	1.971960	2.017060	1.910040	1.856710	1.925730	1.773370	1.625320	1.723740	
66	1.602500	1.543820	1.746750	1.767360	1.990970	2.019260	1.909180	1.819990	1.627490	1.734930	1.641380	1.646010	1.896660	2.014890	2.144340	2.379700	2.395860	2.403360	2.434960	2.576080	2.086380	1.804740	1.800590	1.719790	1.740230	1.768660	1.917620	1.984760	1.942770	2.937550	3.075790	2.438570	3.216960	2.554580	2.378440	2.391660	2.552000	2.253090	2.572630	2.107210	2.765400	2.835970	2.942400	2.881330	2.885680	2.988990	3.142540	2.925960	2.986040	2.736770	2.797410	2.745800	3.545530	2.992570	2.698270	2.468860	2.495980	2.768810	2.908330	3.097850	2.748750	2.922960	2.520550	2.763420	2.728250	2.596690	3.222620	2.727130	3.607610	3.545550	3.430170	3.362950	3.502410	3.214580	2.807740	3.168070	2.968940	3.146240	2.502160	3.214370	2.511880	2.457440	2.682270	2.759590	2.743480	2.873990	2.896230	2.909750	2.904970	3.362240	3.686490	3.516310	3.563890	3.690950	3.166930	3.262190	2.951360	2.694090	3.445350	2.861470	2.849300	
67	1.602500	1.531100	1.586730	2.014180	2.195620	2.007930	1.960860	2.217590	1.794480	1.698470	1.938620	1.791000	1.983490	2.077880	2.007480	2.328330	2.080550	2.029670	2.011440	1.770340	1.931580	1.811050	1.938320	2.752640	2.003110	2.083280	2.184880	2.705970	2.691800	2.918750	3.247420	3.493530	2.879350	2.848360	2.946620	3.161330	2.809910	2.940800	2.818490	2.799750	2.718940	2.795540	2.639180	2.771040	2.739290	3.059810	2.710810	2.748410	3.178220	2.565960	2.589490	2.903570	2.590920	2.957380	2.536220	2.727300	2.939390	3.079050	3.154390	2.318730	3.019290	2.804410	3.162520	2.929660	2.752950	2.519810	2.740460	2.731370	3.336120	3.158610	3.351360	2.967940	2.728890	2.985110	3.149860	2.988220	2.862160	3.070600	3.099590	2.812730	2.896110	3.057120	3.007410	2.830630	3.473040	3.286630	3.371790	3.437820	3.023400	3.044100	3.557510	3.135460	3.472420	3.425260	2.984170	2.986280	2.837600	3.516970	2.987890	2.953560	3.327330	
68	1.602500	1.823270	1.726220	2.027900	1.955060	1.889310	1.973570	1.828170	1.827770	1.832220	2.151660	2.147630	2.082060	2.186460	2.588260	2.331100	2.165690	2.103310	1.945430	1.847610	1.591490	1.664170	1.717660	1.643040	1.750960	1.974050	2.098720	2.449810	2.278370	2.527890	2.858990	2.558740	3.726120	2.909590	3.412140	3.635960	3.581880	2.988360	2.972220	2.282060	2.853520	2.446860	2.524670	1.952800	2.076430	2.053950	2.006230	1.800470	1.709250	1.975390	1.793320	1.709900	2.039730	2.192860	2.978840	2.626290	3.197820	3.139000	3.396290	4.014070	2.016270	2.767020	2.503280	3.402820	3.329470	3.295700	3.244570	2.460880	2.395740	2.429360	2.472430	2.706930	2.967800	2.928620	2.893950	2.942180	2.935150	2.899360	2.931720	2.541820	2.981450	3.734410	2.895240	2.516870	2.392180	2.035770	2.285960	1.957680	1.711180	1.974350	1.926260	2.001700	2.023770	2.395580	2.317570	2.781390	3.445180	2.782420	3.249800	3.223630	2.826900	
69	1.602500	1.532620	1.907220	1.740550	1.848280	1.779570	1.652870	1.748780	1.945760	1.764200	1.851510	1.854950	1.773860	1.956340	1.951030	2.081570	2.169490	2.528350	2.370110	2.353170	2.095610	2.097670	2.109740	1.857500	1.843140	2.056310	1.797640	1.710020	1.666120	1.724380	1.736280	1.879520	2.138250	2.331850	2.417250	2.641540	2.706990	2.847220	2.555900	2.586270	2.417140	2.235150	1.845070	1.773650	1.787300	1.746910	2.201750	2.466200	2.463350	2.188950	2.055240	1.821550	1.895180	1.723920	1.972400	2.208900	2.138620	2.718190	2.565780	2.953350	2.956840	2.360520	2.519630	2.446430	2.194970	2.281750	2.393440	2.369250	2.453080	2.826120	2.704640	2.889500	2.574070	3.077830	2.887360	2.726230	3.036160	2.798830	2.876970	3.092510	2.805920	2.237320	2.050430	1.964880	1.792820	1.985250	2.126480	2.132530	2.160570	2.277940	2.079920	1.852140	1.701100	1.834800	2.061140	2.082150	1.938080	1.860010	2.037770	1.885720	2.133040	
70	1.602500	1.537190	1.683300	1.786430	1.877960	1.789020	1.879750	2.045490	1.995370	1.812080	2.077220	1.961110	2.043590	2.105330	2.136230	1.997380	2.113580	2.131730	2.167020	2.200210	2.223510	2.090130	2.064780	2.214280	2.156600	2.204750	2.510850	2.840390	3.279650	3.326760	3.398420	3.525540	3.292420	3.243850	2.326220	2.183870	2.025090	2.074250	2.571820	1.962490	2.079100	2.001630	2.628580	2.896590	2.809450	2.809450	2.614920	2.385920	2.290030	2.389260	2.656400	2.892630	2.826640	2.724250	3.026400	3.071610	2.546350	2.694760	2.854740	2.682470	2.669270	2.524490	2.615810	2.753460	2.838740	2.251430	2.229140	2.504840	2.651700	3.113490	2.800100	2.943140	3.202010	3.114880	2.741900	2.682530	2.781750	2.935500	3.023060	3.052530	3.028030	3.130090	3.125310	2.836010	2.828220	2.910740	2.850710	2.797500	2.793130	2.955380	2.845460	2.317740	2.307650	2.071590	2.391850	2.611800	2.787650	2.841140	3.051590	2.972020	2.767930	
71	1.602500	1.646400	1.961220	1.615900	1.866900	1.490940	1.634400	1.724840	1.837110	2.259040	2.465850	2.455530	2.785120	2.834700	3.054440	2.748040	2.711640	2.875860	2.714140	2.716540	2.308780	2.233930	2.332660	2.311640	2.789250	2.365930	2.203920	2.349620	2.115030	2.346950	2.064530	1.832130	1.929860	1.910720	1.843170	1.861660	1.952130	1.940010	2.080800	2.417360	2.442910	2.486100	2.769430	2.803210	2.961540	2.519230	2.893580	2.736010	2.595750	2.688190	2.535400	2.737190	2.267080	2.329720	2.636310	2.673530	3.035180	3.063330	2.936660	2.535480	2.439070	2.601860	2.724330	2.832590	3.222550	3.415550	3.265390	3.136370	2.836230	2.845940	2.951170	3.169340	3.177830	2.938290	3.280190	3.608920	3.287950	3.350850	2.673300	3.007440	2.569640	2.635430	2.959310	3.438510	2.931930	3.153870	3.100280	3.071120	3.005510	3.402470	2.762320	2.819530	2.767550	2.516880	2.796470	2.736830	2.821840	2.933550	2.948480	2.949840	3.199140	
72	1.602500	1.643050	1.849360	1.574630	1.743730	1.853740	1.776890	1.886430	1.754040	2.018130	1.677540	1.752820	1.998460	2.171520	2.115700	2.340790	2.323060	2.136890	2.079600	1.917710	1.835850	1.741020	1.790870	2.066700	2.041880	2.025530	2.423630	2.458830	2.382080	2.477840	2.089760	1.914720	1.694440	1.782070	2.245010	1.944260	2.058850	2.224070	2.504120	2.447220	2.465930	2.484320	2.563560	2.811160	2.375350	2.283130	2.318970	2.293940	2.174160	2.371850	2.519210	2.842810	2.913660	3.415100	2.872070	2.948000	2.733340	2.764520	2.771900	2.777840	2.710810	2.862040	2.666830	2.753480	2.758790	2.698700	2.759410	2.658570	2.654050	2.729270	2.556950	2.319680	2.440030	2.513280	2.632440	2.398570	2.683840	2.903270	2.943250	3.363290	2.506450	2.249730	2.611490	2.215780	2.290240	2.317070	2.433310	2.311610	2.503660	2.921860	2.933500	2.696760	2.905180	2.796200	2.533900	2.413760	2.319120	2.326240	1.990400	1.734640	1.781200	
73	1.602500	1.680720	1.622750	1.908790	1.880750	1.828660	1.989560	2.004130	1.943990	1.881010	1.901400	1.689260	2.016620	2.179950	2.488580	2.370270	2.482140	2.278150	2.856140	2.817420	2.522580	2.329540	2.093360	2.347770	2.500630	2.121790	2.287340	1.909960	2.186020	2.418330	2.488410	2.446170	2.604580	2.683050	2.650810	2.698980	2.233910	2.365980	2.278660	2.331380	2.202450	2.515440	2.455470	2.819970	3.264130	3.174020	2.989770	3.092790	3.002780	3.101780	3.254670	3.149440	3.337990	2.662530	2.924580	2.595400	2.328670	2.576740	2.341660	2.258560	2.591890	2.208280	2.583750	2.163460	2.574670	2.727540	2.541310	2.670850	2.825430	2.844410	3.141590	3.278460	3.334140	2.780250	2.891690	2.831660	3.387770	3.217410	2.975210	3.565700	3.754680	3.534380	3.110000	2.659560	2.648700	2.446760	2.535060	2.548510	2.288590	2.904400	2.557490	2.517610	2.501870	2.662180	3.255760	2.973050	2.693980	3.314290	3.125820	2.909560	2.854260	
74	1.602500	1.543090	1.561620	1.962180	2.235570	2.233910	2.359310	2.541440	2.950090	3.652900	4.271260	3.516870	3.096090	2.484870	2.273600	1.896540	1.806300	1.887370	2.006960	2.213710	2.120800	2.585740	2.549860	3.133220	2.690450	3.181950	3.107750	3.020040	3.004200	2.769490	2.778890	3.090720	3.015530	2.724750	2.661700	2.932080	2.798990	2.900410	2.673070	2.565960	2.839320	2.623330	2.600460	2.959270	2.890070	2.708970	2.586190	2.822470	2.740800	3.316010	3.144310	3.139320	3.072920	2.766920	2.728600	2.720080	2.797340	2.803950	2.730810	3.005800	3.390480	3.394070	3.718130	3.258310	3.150360	2.734760	3.155940	3.206990	3.366890	2.940720	2.896360	3.152880	2.797610	2.782980	3.379330	2.966520	3.202110	3.106510	2.904930	3.270650	2.749990	2.951950	2.741500	2.769910	2.837320	2.738270	2.829820	2.565640	2.827100	2.656370	2.487120	2.499200	2.130210	2.066190	2.056550	1.986060	1.719700	1.454760	1.560640	1.911910	1.765890	
