    After analysis of      3 configurations: 
 Bulk (1) O-water                        :   at.type -     1;   col.title - o*      
 Bulk (1) H-water                        :   at.type -     2;   col.title - h*      


   ra      rb      o*      h*      
   0.290   0.383   0.000   0.000
   0.290   1.148   0.000   0.000
   0.290   1.913   0.000   0.333
   0.290   2.678   0.000   0.000
   0.290   3.444   0.000   0.000
   0.290   4.209   0.000   0.000
   0.290   4.974   0.000   0.000
   0.290   5.739   0.000   0.000
   0.290   6.504   0.000   0.000
   0.290   7.270   0.000   0.000
   0.290   8.035   0.000   0.000
   0.290   8.800   0.000   0.167
   0.290   9.565   0.000   0.333
   0.290  10.331   0.000   0.000
   0.290  11.096   0.000   0.000
   0.290  11.861   0.000   0.000
   0.290  12.626   0.000   0.000
   0.290  13.391   0.000   0.000
   0.290  14.157   0.000   0.000
   0.290  14.922   0.000   0.000
   0.290  15.687   0.000   0.000
   0.290  16.452   0.000   0.333
   0.290  17.218   0.000   0.000
   0.290  17.983   0.000   0.000
   0.290  18.748   0.000   0.000
   0.290  19.513   0.000   0.000
   0.290  20.278   0.000   0.000
   0.290  21.044   0.000   0.000
   0.290  21.809   0.000   0.000
   0.290  22.574   0.000   0.000
   0.290  23.339   0.000   0.000
   0.290  24.105   0.000   0.000
   0.290  24.870   0.000   0.000
   0.290  25.635   0.000   0.000
   0.290  26.400   0.000   0.000
   0.290  27.165   0.000   0.000
   0.290  27.931   0.667   0.000
   0.290  28.696   0.000   0.500
   0.290  29.461   0.000   0.000
   0.290  30.226   0.000   0.000
   0.290  30.992   0.000   0.000
   0.290  31.757   0.000   0.000
   0.290  32.522   0.000   0.000
   0.290  33.287   0.000   0.167
   0.290  34.052   0.000   0.000
   0.290  34.818   0.000   0.000
   0.290  35.583   0.000   0.000
   0.290  36.348   0.000   0.500
   0.290  37.113   0.000   0.000
   0.290  37.879   0.000   0.000
   0.870   0.383   0.000   0.000
   0.870   1.148   0.000   0.000
   0.870   1.913   0.000   0.167
   0.870   2.678   0.000   0.000
   0.870   3.444   0.000   0.000
   0.870   4.209   0.000   0.000
   0.870   4.974   0.000   0.000
   0.870   5.739   0.000   0.000
   0.870   6.504   0.000   0.000
   0.870   7.270   1.000   0.167
   0.870   8.035   0.000   0.000
   0.870   8.800   0.000   0.000
   0.870   9.565   0.000   0.000
   0.870  10.331   0.000   0.000
   0.870  11.096   0.000   0.000
   0.870  11.861   0.000   0.500
   0.870  12.626   0.000   0.000
   0.870  13.391   0.000   0.000
   0.870  14.157   0.000   0.000
   0.870  14.922   0.000   0.167
   0.870  15.687   0.000   0.000
   0.870  16.452   0.000   0.167
   0.870  17.218   0.000   0.000
   0.870  17.983   0.000   0.000
   0.870  18.748   0.000   0.000
   0.870  19.513   1.000   0.000
   0.870  20.278   0.000   0.000
   0.870  21.044   0.000   0.000
   0.870  21.809   0.000   0.000
   0.870  22.574   0.000   0.000
   0.870  23.339   0.000   0.000
   0.870  24.105   0.000   0.000
   0.870  24.870   0.000   0.000
   0.870  25.635   0.000   0.000
   0.870  26.400   0.000   0.167
   0.870  27.165   0.000   0.333
   0.870  27.931   0.000   0.000
   0.870  28.696   0.000   0.000
   0.870  29.461   0.000   0.000
   0.870  30.226   0.000   0.000
   0.870  30.992   0.000   0.000
   0.870  31.757   0.000   0.000
   0.870  32.522   0.000   0.000
   0.870  33.287   0.000   0.000
   0.870  34.052   0.000   0.000
   0.870  34.818   0.000   0.000
   0.870  35.583   0.000   0.167
   0.870  36.348   0.000   0.167
   0.870  37.113   0.000   0.000
