#   Computed with "calc_table.py"
# Calculate a table of pairwise energies and forces between "INT" atoms
# in the lipid membrane model described in 
#   Brannigan et al, Phys Rev E, 72, 011915 (2005)
# The energy of this interaction U(r) = eps*(0.4*(sigma/r)^12 - 3.0*(sigma/r)^2)
# where here sigma = 7.5, and epsilon = 2.75/4.184
# The interaction is truncated.  See below.
#
# In this version I used the CHARMM switching function
#  S(r) = (rc2^2 - r^2)^2 * (rc2^2 + 2*r^2 - 3*rc1^2) / (rc2^2-rc1^2)^3
# with rc1=22.0 and rc2=22.5
# I realized later this is not what we want because although energy is conserved
# all enrgies are shifted with respect to energies used in the Brannigan paper
# (by 0.27 kCal/mole) and also probably with the later Watson JCP 2011 paper.
# (So don't use this.)

INT
N 1001 R

1 2.6 87251.787856 402763.664479
2 2.62 79585.2363621 364574.203947
3 2.64 72643.024379 330255.845328
4 2.66 66351.9883051 299391.208536
5 2.68 60646.8253431 271610.570248
6 2.7 55469.1990684 246586.123584
7 2.72 50766.9523602 224026.964698
8 2.74 46493.4141489 203674.709811
9 2.76 42606.7882202 185299.659567
10 2.78 39069.6138645 168697.439095
11 2.8 35848.2894913 153686.051901
12 2.82 32912.6514783 140103.294183
13 2.84 30235.6015217 127804.483324
14 2.86 27792.7766117 116660.460548
15 2.88 25562.2565081 106555.833042
16 2.9 23524.3042314 97387.4254387
17 2.92 21661.1356528 89062.9145204
18 2.94 19956.7147493 81499.6244039
19 2.96 18396.5715178 74623.4624292
20 2.98 16967.6399093 68367.9785194
21 3.0 15658.1134687 62673.5329856
22 3.02 14457.3166444 57486.5596649
23 3.04 13355.5899789 52758.912937
24 3.06 12344.1876044 48447.2886046
25 3.08 11415.1856563 44512.7098736
26 3.1 10561.4003809 40920.0707567
27 3.12 9776.3148578 37637.7301715
28 3.14 9054.01338308 34637.1508274
29 3.16 8389.12267028 31892.5777179
30 3.18 7776.75912449 29380.7516608
31 3.2 7212.48152861 27080.6538766
32 3.22 6692.2485576 24973.2780793
33 3.24 6212.38060195 23041.4269669
34 3.26 5769.52544046 21269.5303734
35 3.28 5360.62735385 19643.4826615
36 3.3 4982.89931601 18150.4972204
37 3.32 4633.79794027 16778.97618
38 3.34 4311.00089327 15518.393672
39 3.36 4012.38652059 14359.191159
40 3.38 3736.01545619 13292.6835236
41 3.4 3480.11401219 12310.9747549
42 3.42 3243.05916775 11406.8822043
43 3.44 3023.36499469 10573.8684961
44 3.46 2819.67037535 9805.98028003
45 3.48 2630.72788292 9097.79310596
46 3.5 2455.39370859 8444.36177626
47 3.52 2292.61853163 7841.17560602
48 3.54 2141.43923946 7284.11808108
49 3.56 2000.97141448 6769.43046025
50 3.58 1870.40251273 6293.67891689
51 3.6 1748.98566748 5853.72485855
52 3.62 1636.03405724 5446.69810179
53 3.64 1530.91578427 5069.97261409
54 3.66 1433.04921467 4721.1445646
55 3.68 1341.89873635 4398.01245332
56 3.7 1256.97089537 4098.55911171
57 3.72 1177.8108751 3820.93539003
58 3.74 1103.99928616 3563.44536511
59 3.76 1035.14923829 3324.53291993
60 3.78 970.903667992 3102.76956138
61 3.8 910.932898457 2896.84335615
62 3.82 854.932410519 2705.54887715
63 3.84 802.620805373 2527.77806329
64 3.86 753.737941702 2362.51190574
65 3.88 708.043231479 2208.81288195
66 3.9 665.3140802 2065.81806693
67 3.92 625.344458659 1932.73285812
