Created by Aysun Itai and modified by Andrew Jewett
NOTE: This file has been extensively modified.
Only the bond connectivity and atomic positions are accurate.  

          101  atoms
          134  bonds
          252  angles
          457  dihedrals
           0  impropers

           16  atom types
           24  bond types
           50 angle types
           78 dihedral types
           0  improper types

      0       50 xlo xhi
      0       50 ylo yhi
      0       50 zlo zhi

Masses

       1      10.0
       2      10.0  # atom type names often appear
       3      10.0  # in the comments follwing
       4      10.0  # each line in the Masses section
       5      10.0
       6      10.0
       7      10.0
       8      10.0
       9      10.0
       10     10.0
       11     10.0
       12     10.0
       13     10.0
       14     10.0
       15     10.0
       16     10.0

Atoms

1  2 1 0.000000 12.345  10.000   4.328
2  2 1 0.000000 12.031  11.173   5.037
3  2 1 0.000000 12.031  11.173   6.455
4  2 1 0.000000 11.173  12.031   7.164
5  2 1 0.000000 11.173  12.031   4.328
6  2 1 0.000000 10.000  12.345   5.037
7  2 1 0.000000 10.000  12.345   6.455
8  2 1 0.000000  8.827  12.031   7.164
9  2 1 0.000000  8.827  12.031   4.328
10 2 1 0.000000  7.969  11.173   5.037
11 2 1 0.000000  7.969  11.173   6.455
12 2 1 0.000000  7.655  10.000   7.164
13 2 1 0.000000  7.655  10.000   4.328
14 2 1 0.000000  7.969   8.827   5.037
15 2 1 0.000000  7.969   8.827   6.455
16 2 1 0.000000  8.827   7.969   7.164
17 2 1 0.000000  8.827   7.969   4.328
18 2 1 0.000000 10.000   7.655   5.037
19 2 1 0.000000 10.000   7.655   6.455
20 2 1 0.000000 11.173   7.969   7.164
21 2 1 0.000000 11.173   7.969   4.328
22 2 1 0.000000 12.031   8.827   5.037
23 2 1 0.000000 12.031   8.827   6.455
24 2 1 0.000000 12.345  10.000   7.164
25 2 1 0.000000 12.345  10.000   8.582
26 2 1 0.000000 12.031  11.173   9.291
27 2 1 0.000000 12.031  11.173  10.709
28 2 1 0.000000 11.173  12.031  11.418
29 2 1 0.000000 11.173  12.031   8.582
30 2 1 0.000000 10.000  12.345   9.291
31 2 1 0.000000 10.000  12.345  10.709
32 2 1 0.000000  8.827  12.031  11.418
33 2 1 0.000000  8.827  12.031   8.582
34 2 1 0.000000  7.969  11.173   9.291
35 2 1 0.000000  7.969  11.173  10.709
36 2 1 0.000000  7.655  10.000  11.418
37 2 1 0.000000  7.655  10.000   8.582
38 2 1 0.000000  7.969   8.827   9.291
39 2 1 0.000000  7.969   8.827  10.709
40 2 1 0.000000  8.827   7.969  11.418
41 2 1 0.000000  8.827   7.969   8.582
42 2 1 0.000000 10.000   7.655   9.291
43 2 1 0.000000 10.000   7.655  10.709
44 2 1 0.000000 11.173   7.969  11.418
45 2 1 0.000000 11.173   7.969   8.582
46 2 1 0.000000 12.031   8.827   9.291
47 2 1 0.000000 12.031   8.827  10.709
48 2 1 0.000000 12.345  10.000  11.418
49 2 1 0.000000 12.345  10.000  12.836
